protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,180.191.23.26,8081,Philippines,PH,Cabanatuan City,transparent,true,14.39,AS132199,Globe Telecom,7720.66,1782385488.576132
http,122.52.157.209,8081,Philippines,PH,Malolos,transparent,true,13.95,AS9299,Philippine Long Distance Telephone Co.,6808.2,1782385482.5040193
http,58.69.61.79,8082,Philippines,PH,Dolores,transparent,true,21.11,AS9299,Philippine Long Distance Telephone Co.,11871.71,1782385479.5173984
http,120.28.152.190,8082,Philippines,PH,San Juan,transparent,true,8.13,AS132199,Globe Telecom,3168.54,1782385475.9698827
http,180.191.252.107,8082,Philippines,PH,General Trias,transparent,true,19.19,AS132199,Globe Telecom,659.4,1782385474.2941737
http,119.94.122.89,8081,Philippines,PH,Bocaue,transparent,true,23.24,AS9299,Philippine Long Distance Telephone Co.,737.03,1782385472.161081
http,112.202.227.244,8082,Philippines,PH,Quezon City,transparent,true,21.44,AS9299,Philippine Long Distance Telephone Co.,787.59,1782385468.2333312
http,180.191.59.10,8081,Philippines,PH,Tarlac City,transparent,true,15.71,AS132199,Globe Telecom,3661.99,1782385467.6196308
http,126.209.2.2,8081,Philippines,PH,Manila,transparent,true,7.36,AS135607,Infinivan Incorporated,1648.17,1782385466.5687816
http,126.209.45.27,5050,Philippines,PH,Manila,transparent,true,22.91,AS135607,Infinivan Incoporated,7865.38,1782385464.435974
http,163.223.111.22,8082,Philippines,PH,Claveria,transparent,true,26.28,AS153695,Kuya J Network Seven Infinity IT Solutions,7867.62,1782385463.6279452
http,210.5.93.253,8080,Philippines,PH,Quezon City,transparent,true,23.56,AS9299,Philippine Long Distance Telephone Co.,623.64,1782385470.471141
