protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,61.9.32.142,58765,Philippines,PH,San Juan,elite,true,23.55,AS17970,Sky Cable Corporation,1400.99,1783781965.300137
socks5,103.239.201.50,58765,Philippines,PH,San Juan,elite,true,53.26,AS17970,Sky Cable Corporation,8335.02,1783781939.2106264
socks5,8.220.136.174,3000,Philippines,PH,Manila,elite,true,1.28,AS45102,"Alibaba (US) Technology Co., Ltd.",6722.17,1783781902.295221
socks5,8.220.136.174,3128,Philippines,PH,Manila,elite,true,1.27,AS45102,"Alibaba (US) Technology Co., Ltd.",13635.84,1783781896.4030352
socks5,8.212.168.170,5060,Philippines,PH,Manila,elite,true,1.45,AS45102,"Alibaba (US) Technology Co., Ltd.",6414.07,1783781845.5566943
socks5,8.212.168.170,2080,Philippines,PH,Manila,elite,true,1.39,AS45102,"Alibaba (US) Technology Co., Ltd.",8198.4,1783781839.7793274
socks5,8.212.168.170,59394,Philippines,PH,Manila,elite,true,1.21,AS45102,"Alibaba (US) Technology Co., Ltd.",9432.07,1783781838.765976
socks5,8.212.168.170,8081,Philippines,PH,Manila,elite,true,1.32,AS45102,"Alibaba (US) Technology Co., Ltd.",13520.42,1783781837.3867192
socks5,8.220.141.8,8090,Philippines,PH,Manila,elite,true,1.39,AS45102,"Alibaba (US) Technology Co., Ltd.",13888.64,1783781793.358186
socks5,8.220.141.8,41451,Philippines,PH,Manila,elite,true,1.26,AS45102,"Alibaba (US) Technology Co., Ltd.",13590.11,1783781792.0819507
socks5,103.239.201.33,58765,Philippines,PH,San Juan,elite,true,12.75,AS17970,Sky Cable Corporation,7030.6,1783781783.1015615
