protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,110.38.234.74,1080,Pakistan,PK,Lahore,elite,true,65.73,AS38264,Wateen Telecom (Pvt.) Ltd,751.29,1783900725.7158968
http,182.185.165.125,8080,Pakistan,PK,Lahore,transparent,true,28.96,AS17557,Pakistan Telecommuication company limited,5143.74,1783900713.1658485
socks4,139.135.63.151,5678,Pakistan,PK,Lahore,elite,true,42.46,AS9541,Cyber Internet Services (Private) Limited,8001.4,1783900681.4174771
http,58.65.202.159,808,Pakistan,PK,Islamabad,transparent,true,34.81,AS9541,Cyber Internet Services Pakistan,2409.69,1783900658.3560178
socks5,103.121.120.242,1080,Pakistan,PK,Karachi,elite,true,68.86,AS131275,Logon Broadband Pvt. Limited,3795.16,1783900616.138589
http,103.134.1.14,8080,Pakistan,PK,Multan,elite,true,30.63,AS138590,Prime Networks,749.5,1783900604.5418832
http,119.73.125.55,8080,Pakistan,PK,Islamabad,transparent,false,23.95,AS138655,LDNPK,4387.82,1783900594.747853
socks5,103.236.134.210,1080,Pakistan,PK,Karachi,elite,true,74.62,AS38193,TRANSWORLD ASSOCIATES (PVT) LIMITED,4471.82,1783900782.3403661
http,202.83.174.147,80,Pakistan,PK,Islamabad,transparent,true,31.26,AS23888,National Telecom Corporation,2257.65,1783900777.5179973
http,202.83.174.147,8080,Pakistan,PK,Islamabad,transparent,false,24.34,AS23888,National Telecom Corporation,14443.86,1783900763.6604989
