protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,119.73.125.55,8080,Pakistan,PK,Islamabad,transparent,false,23.9,AS138655,LDNPK,3428.74,1783897160.7241168
http,221.120.218.66,8080,Pakistan,PK,Tandlianwala,transparent,true,27.15,AS17557,PTCL ITI Lahore 11,4324.61,1783897122.3682508
http,119.159.234.101,8080,Pakistan,PK,Gujrat,transparent,false,31.63,AS17557,PTCL Triple Play Project,5035.78,1783897112.712924
http,121.91.60.68,8080,Pakistan,PK,Daultala,transparent,false,11.79,AS138423,CMPak Limited,4270.73,1783897084.2798405
http,154.208.58.89,8080,Pakistan,PK,Lahore,elite,true,9.98,AS150750,IN CABLE INTERNET PRIVATE LIMITED,3941.54,1783897142.404053
http,43.251.253.40,8080,Pakistan,PK,Lahore,transparent,false,30.43,AS136384,Optix Pakistan (Pvt.) Limited,4381.95,1783897131.4478304
http,202.141.230.146,8080,Pakistan,PK,Karachi,transparent,false,23.83,AS135523,Multinet 202-230/24,13935.32,1783897106.5158615
http,182.185.165.125,8080,Pakistan,PK,Lahore,transparent,false,28.92,AS17557,Pakistan Telecommuication company limited,6027.57,1783897106.1759005
http,103.255.66.109,8080,Pakistan,PK,Islamabad,transparent,false,12.49,AS150683,Transworld Enterprise Services,5389.93,1783897094.6172009
http,202.83.174.147,8080,Pakistan,PK,Islamabad,transparent,true,24.21,AS23888,National Telecom Corporation,5858.1,1783897092.9487298
http,202.165.232.238,8080,Pakistan,PK,Lahore,transparent,false,25.28,AS136384,Optix Pakistan (Pvt.) Limited,5998.35,1783897074.8581805
