protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,103.146.137.49,1081,Pakistan,PK,Karachi,elite,true,4.82,AS139879,Galaxy Broadband (pvt.) Ltd.,2431.54,1783674861.3711643
socks4,110.38.234.74,1080,Pakistan,PK,Lahore,elite,true,62.79,AS38264,Wateen Telecom (Pvt.) Ltd,746.76,1783674852.9553776
socks4,103.146.137.17,1081,Pakistan,PK,Karachi,elite,true,5.57,AS139879,Galaxy Broadband (pvt.) Ltd.,3161.13,1783674835.5927868
socks4,103.146.137.137,1081,Pakistan,PK,Karachi,elite,true,4.95,AS139879,Galaxy Broadband (pvt.) Ltd.,4021.0,1783674835.3269074
socks4,103.146.137.61,1081,Pakistan,PK,Karachi,elite,true,2.56,AS139879,Galaxy Broadband (pvt.) Ltd.,613.24,1783674835.1552353
socks4,103.115.198.39,5678,Pakistan,PK,Lahore,elite,true,49.63,AS152605,AMBITIONS COMMUNICATION SYSTEM (SMC-PRIVATE) LIMITED,723.23,1783674832.645168
socks4,103.146.137.69,1081,Pakistan,PK,Karachi,elite,true,2.72,AS139879,Galaxy Broadband (pvt.) Ltd.,4026.05,1783674828.417208
socks4,139.135.63.151,5678,Pakistan,PK,Lahore,elite,true,43.88,AS9541,Cyber Internet Services (Private) Limited,3766.51,1783674827.7201476
socks4,103.146.137.253,1081,Pakistan,PK,Karachi,elite,true,5.39,AS139879,Galaxy Broadband (pvt.) Ltd.,1665.67,1783674826.3351073
socks4,210.2.149.187,1080,Pakistan,PK,Islamabad,elite,true,63.31,AS23966,LINKdotNET Telecom Limited,7904.07,1783674879.66052
