protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,91.150.189.122,60647,Poland,PL,Rzeszów,elite,true,18.39,AS42673,Skyware Sp. z o.o.,177.77,1781555383.3988533
socks4,46.171.28.162,59311,Poland,PL,Krzywa Góra,elite,true,12.73,AS5617,Orange Polska Spolka Akcyjna,1122.42,1781555382.7050319
socks4,95.214.54.200,1080,Poland,PL,Warsaw,elite,true,39.83,AS201814,MEVSPACE sp. z o.o.,513.69,1781555375.9782279
socks4,45.144.49.156,1080,Poland,PL,Warsaw,elite,true,64.59,AS49791,3hcloud,147.09,1781555373.5445044
socks4,185.79.243.153,38431,Poland,PL,Myszków,elite,true,13.25,AS206957,PHU Kario-Sat Sp. z o.o.,7486.04,1781555370.1485765
socks4,88.218.206.170,5432,Poland,PL,Łęczyca,elite,true,74.63,AS215467,Skhron OU,640.19,1781555365.25486
http,185.21.37.53,8888,Poland,PL,Chojnice,transparent,false,20.82,AS199250,Ckpartnet Network,3494.39,1781555345.4193828
http,81.200.154.236,48503,Poland,PL,Warsaw,elite,true,74.78,AS210976,"Timeweb, LLP",125.01,1781555317.9008522
socks5,82.26.91.197,1080,Poland,PL,Warsaw,elite,true,57.72,AS57043,Hostkey B.V.,505.94,1781555317.3573768
http,178.212.144.7,80,Poland,PL,Sokółka,elite,false,98.69,AS51436,IDEALAN Spolka Jawna - Piekarski,48.63,1781555303.5885377
socks4,212.126.5.246,42344,Poland,PL,Poznan,elite,true,5.68,AS8364,"Institute of Bioorganic Chemistry Polish Academy of Science, Poznan Supercomput",93.64,1781555403.758848
socks4,212.126.5.249,42344,Poland,PL,Poznan,elite,true,20.05,AS8364,"Institute of Bioorganic Chemistry Polish Academy of Science, Poznan Supercomput",102.09,1781555403.6511056
