protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,148.81.121.5,8080,Poland,PL,Warsaw,transparent,true,13.1,AS1887,WAWPOLIP,4316.65,1783221854.7327871
http,178.212.144.7,80,Poland,PL,Sokółka,elite,false,98.8,AS51436,IDEALAN Spolka Jawna - Piekarski,47.47,1783221848.5898936
http,80.51.61.1,8080,Poland,PL,Poniatowa,transparent,false,18.75,AS5617,Orange Polska Spolka Akcyjna,1887.16,1783221846.0508387
http,91.150.189.122,30389,Poland,PL,Rzeszów,elite,true,5.69,AS42673,Skyware Sp. z o.o.,4908.02,1783221833.84348
http,195.205.134.1,8080,Poland,PL,Warsaw,transparent,false,18.93,AS5617,Orange Polska Spolka Akcyjna,3698.47,1783221809.240591
http,54.38.139.182,3128,Poland,PL,Warsaw,anonymous,false,66.64,AS16276,OVH SAS,83.69,1783221795.6906686
http,185.21.36.249,8080,Poland,PL,Chojnice,transparent,false,28.59,AS199250,Ckpartnet Network,4348.25,1783221793.7660084
http,78.9.232.205,8080,Poland,PL,Świnoujście,transparent,false,9.29,AS12741,Netia SA,7747.74,1783221792.9721127
http,54.38.138.60,3128,Poland,PL,Warsaw,anonymous,false,67.68,AS16276,OVH SAS,84.21,1783221694.326792
http,212.182.119.149,8080,Poland,PL,Lublin,transparent,false,10.18,AS12346,non-academic part of Lublin MAN,12795.3,1783221861.6072686
http,45.148.116.18,28080,Poland,PL,Warsaw,elite,false,30.47,,IT-TECHNOLOGY-VECTOR,1973.86,1783221836.7638474
