protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,45.144.49.156,1080,Poland,PL,Warsaw,elite,true,60.0,AS49791,3hcloud,163.47,1783853958.5654933
socks4,185.79.243.153,38431,Poland,PL,Myszków,elite,true,15.59,AS206957,PHU Kario-Sat Sp. z o.o.,137.26,1783853951.876594
socks4,194.59.186.35,1080,Poland,PL,Warsaw,elite,true,90.68,AS210644,Aeza International LTD,1611.96,1783853949.485682
socks4,77.83.246.110,2000,Poland,PL,Warsaw,elite,true,98.98,AS215540,Global Connectivity Solutions LLP,4170.15,1783853947.682407
socks4,185.32.4.65,4153,Poland,PL,Chociwel,elite,true,12.25,AS60645,AS Consulting Sp. z o. o.,1111.9,1783853936.2714276
socks4,91.150.189.122,60647,Poland,PL,Rzeszów,elite,true,21.73,AS42673,Skyware Sp. z o.o.,196.43,1783853934.2015393
socks4,88.218.206.170,5432,Poland,PL,Łęczyca,elite,true,67.2,AS215467,Skhron OU,872.84,1783853931.2530534
socks4,95.214.54.200,1080,Poland,PL,Warsaw,elite,true,30.84,AS201814,MEVSPACE sp. z o.o.,2322.62,1783853922.5694509
socks4,92.118.205.175,80,Poland,PL,Warsaw,elite,true,49.63,AS136258,"BrainStorm Network, Inc",10423.44,1783853956.4532795
socks4,212.126.5.249,42344,Poland,PL,Poznan,elite,true,19.52,AS8364,"Institute of Bioorganic Chemistry Polish Academy of Science, Poznan Supercomput",79.97,1783853988.9216318
