protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,170.245.132.81,999,Paraguay,PY,Carapeguá,transparent,false,23.86,AS270096,"MACHADO BAEZ, NERY JAVIER",6320.69,1783207764.7718217
http,181.78.95.41,999,Paraguay,PY,Asunción,transparent,false,9.23,AS52468,Ufinet Paraguay S.A,4623.79,1783207761.2957983
http,181.94.197.37,8080,Paraguay,PY,Fernando de la Mora,elite,false,12.55,AS27895,Núcleo S.A.,4684.91,1783207758.798174
http,170.245.132.86,999,Paraguay,PY,Carapeguá,transparent,false,16.86,AS270096,"MACHADO BAEZ, NERY JAVIER",14634.69,1783207717.5904815
http,181.233.100.100,8080,Paraguay,PY,San Estanislao,transparent,false,17.04,AS272099,Wirschke Monges Ricardo Daniel,11531.32,1783207717.0200603
http,181.78.95.40,999,Paraguay,PY,Asunción,transparent,false,9.16,AS52468,Ufinet Paraguay S.A,6615.67,1783207686.5377111
http,181.78.27.39,999,Paraguay,PY,Asunción,transparent,false,4.73,AS52468,Ufinet Paraguay S.A,6850.15,1783207683.0807145
http,190.110.226.122,80,Paraguay,PY,Asunción,elite,false,65.52,AS28103,TECNOLOGIA EN ELECTRONICA E INFORMATICA SOCIEDAD ANONIMA (T.E.I.S.A),776.29,1783207638.496434
http,181.78.94.23,9991,Paraguay,PY,Asunción,transparent,true,8.44,AS52468,Ufinet Paraguay S.A,8432.46,1783207616.584443
http,37.230.58.20,999,Paraguay,PY,Ciudad del Este,transparent,true,9.32,AS270052,Aranda Cardozo Lider Ramon,1714.6,1783207544.8070571
http,45.170.128.120,999,Paraguay,PY,Ciudad del Este,transparent,false,8.83,AS61512,GIG@NET SOCIEDAD ANONIMA,8258.53,1783207726.372422
