protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,170.245.132.85,999,Paraguay,PY,Asunción,transparent,false,22.01,AS270096,"MACHADO BAEZ, NERY JAVIER",11769.79,1780813423.0044088
http,170.245.132.86,999,Paraguay,PY,Carapeguá,transparent,false,12.58,AS270096,"MACHADO BAEZ, NERY JAVIER",8113.52,1780813413.2057385
http,181.233.100.100,8080,Paraguay,PY,Veinticinco de Diciembre,transparent,false,22.92,AS272099,Wirschke Monges Ricardo Daniel,5345.45,1780813408.70708
http,181.78.217.50,999,Paraguay,PY,Villa Hayes,transparent,false,8.99,AS52468,Ufinet Paraguay S.A,11436.22,1780813406.343636
http,37.230.57.120,999,Paraguay,PY,Ciudad del Este,transparent,false,10.61,AS270052,Aranda Cardozo Lider Ramon,4950.47,1780813405.0011015
http,181.233.100.101,8080,Paraguay,PY,Veinticinco de Diciembre,transparent,false,26.94,AS272099,Wirschke Monges Ricardo Daniel,3334.87,1780813402.858707
http,170.245.132.80,999,Paraguay,PY,Carapeguá,transparent,false,9.37,AS270096,"MACHADO BAEZ, NERY JAVIER",6998.1,1780813326.3016245
http,190.110.226.122,80,Paraguay,PY,Asunción,elite,false,60.29,AS28103,TECNOLOGIA EN ELECTRONICA E INFORMATICA SOCIEDAD ANONIMA (T.E.I.S.A),9121.28,1780813278.949346
http,181.78.94.23,9991,Paraguay,PY,Asunción,transparent,false,7.78,AS52468,Ufinet Paraguay S.A,13823.09,1780813258.5156813
http,170.245.132.81,999,Paraguay,PY,Carapeguá,transparent,false,22.27,AS270096,"MACHADO BAEZ, NERY JAVIER",5397.54,1780813240.5679584
