protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,84.201.144.65,10005,Russia,RU,Moscow,elite,true,16.55,AS200350,Yandex Cloud,1322.48,1783434576.3375251
socks4,84.201.144.65,10002,Russia,RU,Moscow,elite,true,24.34,AS200350,Yandex Cloud,853.94,1783434574.7487304
socks4,176.12.65.24,443,Russia,RU,Khimki,elite,true,87.27,AS29182,WEBDC,331.1,1783434572.5356643
http,2.56.178.88,808,Russia,RU,Moscow,elite,false,80.11,AS33993,UFO Hosting LLC,308.26,1783434569.2747195
http,83.222.18.131,8080,Russia,RU,St Petersburg,anonymous,true,7.18,AS198610,Beget LLC,4679.35,1783434568.8093612
socks4,91.197.98.223,1080,Russia,RU,Moscow,elite,true,95.08,AS197695,"""Domain names registrar REG.RU"", Ltd",7382.22,1783434568.7193952
socks4,84.201.144.65,10007,Russia,RU,Moscow,elite,true,29.27,AS200350,Yandex Cloud,10839.45,1783434567.2760775
socks4,144.31.222.106,7890,Russia,RU,Moscow,elite,true,65.96,AS202831,Ablaykhan Akylbekovich Sharimov,1247.29,1783434567.2657003
socks4,5.136.120.180,1080,Russia,RU,Tomsk,elite,true,22.21,AS12389,Rostelecom networks,7511.96,1783434566.15687
socks5,46.161.4.153,4444,Russia,RU,St Petersburg,elite,true,33.93,AS212128,"LLC ""HORIZON""",4330.28,1783434565.0907164
socks4,94.181.33.149,40840,Russia,RU,Chelyabinsk,elite,true,20.08,AS41661,"CJSC ""ER-Telecom Holding"" Chelyabinsk branch",1412.31,1783434564.6531858
socks4,46.188.46.230,1080,Russia,RU,Moscow,elite,true,58.8,AS8334,2COM,377.91,1783434563.7741287
http,46.47.197.210,3128,Russia,RU,St Petersburg,elite,false,58.3,AS20632,PJSC Megafon SZF,1855.4,1783434563.294244
http,31.28.4.192,80,Russia,RU,Moscow,elite,false,34.52,AS29076,Citytelecom LLC,2760.42,1783434563.157873
socks5,195.19.51.21,1080,Russia,RU,Moscow,elite,true,13.35,AS57529,ZAO GTNT,1262.94,1783434561.6737554
socks4,193.233.129.235,1080,Russia,RU,St Petersburg,elite,true,73.43,AS210644,Aeza International LTD,11211.6,1783434560.7350574
socks4,193.124.64.142,1080,Russia,RU,Moscow,elite,true,38.22,AS48282,VDSINA,8025.48,1783434560.429995
http,95.46.148.11,8080,Russia,RU,Tyumen,transparent,false,36.68,AS60245,Sannikov Kirill Vladimirovich,4437.69,1783434560.124095
http,202.49.176.24,2080,Russia,RU,Moscow,elite,true,86.44,AS50340,JSC Selectel,5453.58,1783434558.789191
socks5,45.67.58.190,1080,Russia,RU,St Petersburg,elite,true,95.45,AS198610,BEGET.RU,345.6,1783434556.4579635
http,72.56.238.99,9090,Russia,RU,Moscow,elite,true,87.34,AS9123,"JSC ""TIMEWEB""",200.75,1783434556.224758
socks4,186.246.14.205,9050,Russia,RU,Novosibirsk,elite,true,42.22,AS57494,Adman LLC,15375.45,1783434555.8023522
http,92.39.129.50,1256,Russia,RU,Moscow,transparent,false,33.72,AS8595,OOO WestCall Ltd,5869.62,1783434555.7963266
http,176.110.140.154,888,Russia,RU,Slavyansk-na-Kubani,elite,false,9.98,AS57871,TeleCentr Ltd.,1209.77,1783434555.379864
socks4,147.45.215.249,8443,Russia,RU,Novosibirsk,elite,true,12.13,AS57494,Adman LLC,9484.28,1783434554.6253033
http,91.233.169.23,8081,Russia,RU,St Petersburg,elite,false,59.99,AS42765,Excellent Signalman LLC,7129.33,1783434551.757807
http,186.246.14.2,8080,Russia,RU,Novosibirsk,elite,false,52.27,AS57494,Adman LLC,2889.07,1783434551.3682158
socks4,178.154.243.225,1085,Russia,RU,Moscow,elite,true,60.88,AS200350,Yandex Cloud,11875.8,1783434550.5476806
http,72.56.32.152,1081,Russia,RU,Moscow,elite,true,51.81,AS9123,"JSC ""TIMEWEB""",215.9,1783434550.413844
socks4,92.42.8.5,4145,Russia,RU,Zheleznovodsk,elite,true,31.17,AS44963,KMVtelecom,3403.2,1783434548.6245298
socks5,194.67.51.210,1080,Russia,RU,Moscow,elite,true,41.22,AS3216,SOVAM,538.74,1783434544.131367
http,176.99.134.183,8090,Russia,RU,Moscow,elite,false,91.98,AS35598,Inetcom Carrier LLC,217.63,1783434541.7084503
http,91.197.98.223,1080,Russia,RU,Moscow,elite,true,90.61,AS197695,"""Domain names registrar REG.RU"", Ltd",11521.26,1783434539.9338884
http,195.9.238.35,8080,Russia,RU,Moscow,transparent,false,56.72,AS25513,PJSC Moscow city telephone network,5754.98,1783434538.9558861
http,62.109.1.115,3128,Russia,RU,Khimki,elite,false,30.58,AS29182,WEBDC,6542.29,1783434538.6495433
socks5,144.31.222.106,7890,Russia,RU,Moscow,elite,true,61.78,AS202831,Ablaykhan Akylbekovich Sharimov,3162.42,1783434537.2837281
socks4,5.101.5.160,2080,Russia,RU,St Petersburg,elite,true,58.89,AS34665,Petersburg Internet Network ltd.,19708.37,1783434535.1588905
socks4,72.56.32.152,1081,Russia,RU,Moscow,elite,true,55.45,AS9123,"JSC ""TIMEWEB""",3363.64,1783434534.625153
http,92.255.248.78,8080,Russia,RU,Nizhnekamsk,transparent,false,28.38,AS42116,"CJSC ""ER-Telecom Holding"" Naberezhnye Chelny branch",4163.83,1783434533.7730873
http,81.177.160.200,80,Russia,RU,Moscow,elite,false,22.27,AS8342,RTCOMM,241.72,1783434531.815442
socks5,217.173.31.28,1080,Russia,RU,Kazan',elite,true,34.66,AS29194,MTS PJSC,606.37,1783434531.0286036
socks5,37.18.73.60,5566,Russia,RU,Moscow,elite,true,77.46,AS208677,"""Cloud Technologies"" LLC trading as Cloud.ru",392.43,1783434530.7733274
http,195.9.238.34,8080,Russia,RU,Moscow,transparent,false,56.32,AS25513,PJSC Moscow city telephone network,5338.04,1783434530.6988358
socks5,84.201.144.65,10002,Russia,RU,Moscow,elite,true,23.15,AS200350,Yandex Cloud,3480.76,1783434529.0876722
http,89.207.72.188,8083,Russia,RU,Kirov,elite,false,37.29,AS41123,"JSC ""Relax""",2568.37,1783434529.0422516
socks4,91.247.250.215,4145,Russia,RU,Ivanteyevka,elite,true,12.47,AS29588,Ivstar Ltd,7436.28,1783434526.8494596
http,87.251.74.124,3128,Russia,RU,Moscow,transparent,true,40.26,AS215881,Elytrium LLC,567.41,1783434523.4107478
socks4,95.46.105.163,4145,Russia,RU,Grozny,elite,true,22.05,AS207320,Kompleks Media LLC,342.84,1783434521.4147482
socks5,83.222.13.67,1080,Russia,RU,Moscow,elite,true,87.63,AS25532,"LLC ""MASTERHOST""",9750.81,1783434520.9148765
socks5,62.148.152.192,1080,Russia,RU,Maloyaroslavets,elite,true,8.69,AS15468,JSC CenterTelecom Kaluga branch,8402.38,1783434520.6403072
http,62.84.123.164,8081,Russia,RU,Moscow,transparent,true,37.41,AS200350,Yandex.Cloud LLC,9274.19,1783434519.328144
socks5,46.188.46.230,1080,Russia,RU,Moscow,elite,true,44.43,AS8334,2COM,1044.25,1783434518.5656853
http,72.56.32.152,1082,Russia,RU,Moscow,elite,true,55.23,AS9123,"JSC ""TIMEWEB""",176.55,1783434517.8122413
http,79.174.12.190,80,Russia,RU,Moscow,elite,false,30.16,AS29182,JSC IOT,17179.75,1783434514.3597956
http,217.25.221.247,8080,Russia,RU,Omsk,transparent,false,44.27,AS47165,Omskie kabelnye seti Ltd.,4973.44,1783434505.9899385
http,185.139.68.62,443,Russia,RU,Moscow,elite,false,37.76,AS204997,First Server Limited,5076.22,1783434504.2483573
http,193.107.236.183,3128,Russia,RU,Yekaterinburg,transparent,true,45.25,AS44128,Internet-Pro LLC,8853.09,1783434503.417468
http,85.198.100.232,3128,Russia,RU,Moscow,anonymous,true,47.45,AS198610,Beget LLC,6825.65,1783434503.1735404
socks5,109.107.189.151,1080,Russia,RU,Moscow,elite,true,96.58,AS216246,Aeza Group LLC,269.57,1783434502.4887874
http,46.173.211.221,12880,Russia,RU,Moscow,elite,false,8.31,AS47196,Garant-Park-Internet Ltd,3796.17,1783434500.2751172
socks5,80.90.188.187,24530,Russia,RU,St Petersburg,elite,true,11.62,AS9123,"JSC ""TIMEWEB""",10301.9,1783434499.2989757
socks5,94.233.120.194,1080,Russia,RU,Volgograd,elite,true,39.02,AS12389,Rostelecom,2272.83,1783434495.311837
socks5,185.21.141.238,1080,Russia,RU,Moscow,elite,true,56.38,AS41957,Directive LLC,1614.64,1783434492.9916499
