protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,82.146.38.71,443,Russia,RU,Moscow,elite,true,36.84,AS29182,JSC IOT,2359.16,1782560656.29708
http,46.47.197.210,3128,Russia,RU,St Petersburg,elite,false,57.59,AS20632,PJSC Megafon SZF,155.06,1782560655.9379973
http,81.177.160.200,80,Russia,RU,Moscow,elite,false,22.64,AS8342,RTCOMM,1194.52,1782560642.8372638
http,217.25.221.247,8080,Russia,RU,Omsk,transparent,false,48.36,AS47165,Omskie kabelnye seti Ltd.,4556.02,1782560639.310765
http,188.127.224.164,2080,Russia,RU,Moscow,elite,false,28.79,AS56694,LLC Smart Ape,6379.56,1782560630.2605128
http,31.28.4.192,80,Russia,RU,Moscow,elite,false,33.22,AS29076,Citytelecom LLC,8452.23,1782560625.9204335
http,5.165.225.172,3128,Russia,RU,Yekaterinburg,elite,true,48.23,AS51604,"CJSC ""ER-Telecom Holding"" Yekaterinburg branch",3431.4,1782560625.7999058
http,95.31.32.90,8080,Russia,RU,Zelenograd,transparent,false,25.16,AS8402,CORBINA-BROADBAND,6182.96,1782560624.2648942
http,202.49.176.24,2080,Russia,RU,Moscow,elite,false,88.72,AS50340,JSC Selectel,9397.44,1782560621.78946
http,144.31.222.106,7890,Russia,RU,Moscow,elite,true,38.51,AS202831,Ablaykhan Akylbekovich Sharimov,223.96,1782560617.9500315
http,193.124.64.142,8080,Russia,RU,Moscow,elite,false,16.31,AS48282,VDSINA,5498.62,1782560612.991884
http,82.114.228.67,1080,Russia,RU,Saratov,elite,false,62.81,AS48763,SCTS,13358.16,1782560606.9315565
http,176.100.216.164,8282,Russia,RU,Orekhovo-Zuyevo,transparent,false,8.2,AS57489,Telecom-Uslugi,6136.11,1782560606.382519
http,176.12.65.24,443,Russia,RU,Khimki,elite,false,86.23,AS29182,WEBDC,1503.89,1782560606.0684025
http,155.212.133.136,3128,Russia,RU,Moscow,elite,true,15.73,AS198610,Beget LLC,8359.81,1782560605.5245402
http,195.9.238.34,8080,Russia,RU,Moscow,transparent,false,59.66,AS25513,PJSC Moscow city telephone network,2735.67,1782560605.0369468
http,176.99.134.183,8090,Russia,RU,Moscow,elite,false,98.64,AS35598,Inetcom Carrier LLC,218.27,1782560601.8403518
http,91.233.223.147,3128,Russia,RU,Sochi,transparent,true,51.62,AS57753,Radist LTD,906.41,1782560586.345786
http,72.56.238.99,9090,Russia,RU,Moscow,elite,true,89.68,AS9123,"JSC ""TIMEWEB""",1222.19,1782560584.9863567
http,185.139.68.62,443,Russia,RU,Moscow,elite,true,43.82,AS204997,First Server Limited,7363.29,1782560571.8319108
http,79.111.13.155,50625,Russia,RU,Moscow,elite,true,14.23,AS12714,PJSC MegaFon,1445.81,1782560570.1798017
http,195.9.238.36,8080,Russia,RU,Moscow,transparent,false,60.47,AS25513,PJSC Moscow city telephone network,7946.89,1782560558.3259048
http,195.9.238.35,8080,Russia,RU,Moscow,transparent,false,60.02,AS25513,PJSC Moscow city telephone network,5605.57,1782560527.5945415
http,88.84.223.156,5650,Russia,RU,Noginsk,transparent,false,28.3,AS21453,Flex ISP,1283.01,1782560484.3639421
http,212.67.31.235,8080,Russia,RU,Irkutsk,transparent,false,6.71,AS50187,BaikalWestCom,5787.48,1782560656.8832726
