protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,78.24.180.210,8080,Russia,RU,St Petersburg,elite,true,58.56,AS49505,JSC Selectel,143.06,1783807742.4377513
http,72.56.238.99,9090,Russia,RU,Moscow,elite,true,86.74,AS9123,"JSC ""TIMEWEB""",223.01,1783807739.2676587
http,77.110.113.236,8080,Russia,RU,Moscow,elite,true,95.3,AS207713,Global Internet Solutions LLC,617.75,1783807723.311508
http,72.56.238.99,1080,Russia,RU,Moscow,elite,true,86.84,AS9123,"JSC ""TIMEWEB""",268.31,1783807721.2758138
http,82.114.228.67,1080,Russia,RU,Saratov,elite,true,64.92,AS48763,SCTS,4327.56,1783807716.629518
http,79.174.63.25,8081,Russia,RU,Odintsovo,transparent,true,22.59,AS47119,"JSC ""Ufanet""",560.47,1783807693.131902
http,92.255.248.78,8080,Russia,RU,Nizhnekamsk,transparent,true,29.15,AS42116,"CJSC ""ER-Telecom Holding"" Naberezhnye Chelny branch",17020.84,1783807688.8993542
http,5.227.168.160,3128,Russia,RU,Samara,elite,true,98.95,AS41209,Stream network,262.05,1783807674.8134003
http,31.131.248.51,3129,Russia,RU,St Petersburg,elite,true,13.7,AS49505,JSC Selectel,171.17,1783807670.5180647
http,46.17.43.219,7890,Russia,RU,Moscow,elite,true,44.71,AS51659,LLC BAXET,696.19,1783807638.8797524
http,185.139.68.62,443,Russia,RU,Moscow,elite,true,39.38,AS204997,First Server Limited,3522.43,1783807630.3553715
http,188.127.224.164,2080,Russia,RU,Moscow,elite,true,27.52,AS56694,LLC Smart Ape,232.54,1783807617.8398492
http,77.50.183.34,8080,Russia,RU,Moscow,transparent,true,27.5,AS34602,StarLink Telecom Network,6122.54,1783807609.5209844
http,176.12.65.24,443,Russia,RU,Khimki,elite,true,84.78,AS29182,WEBDC,242.24,1783807609.4862928
http,202.49.176.24,2080,Russia,RU,Moscow,elite,true,86.28,AS50340,JSC Selectel,1348.79,1783807789.3238935
http,159.194.228.40,8888,Russia,RU,St Petersburg,elite,true,81.91,AS198610,Beget LLC,1046.97,1783807779.5791404
http,93.77.191.156,8118,Russia,RU,Moscow,elite,true,99.87,AS200350,Yandex.Cloud LLC,209.8,1783807752.9507432
http,213.226.127.45,8000,Russia,RU,St Petersburg,elite,true,75.59,AS9123,Gavlegardarna AB,8190.01,1783807785.450523
http,212.33.246.11,3128,Russia,RU,Perm,elite,true,35.28,AS12768,"JSC ""ER-Telecom Holding""",3398.55,1783807764.3687468
