protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,109.191.11.225,1080,Russia,RU,Zlatoust,elite,true,20.91,AS8369,Intersvyaz-2 JSC,976.2,1783996749.7243469
socks4,89.250.148.158,1080,Russia,RU,Tyumen,elite,true,40.05,AS41682,"JSC ""ER-Telecom Holding""",3353.84,1783996749.048501
socks4,178.20.44.107,26811,Russia,RU,Moscow,elite,true,34.41,AS48282,Hosting technology LTD,5502.36,1783996747.3140144
socks4,46.8.104.176,1080,Russia,RU,St Petersburg,elite,true,60.29,AS207952,Evro Telecom OOO,3263.06,1783996744.8188927
socks4,31.148.13.96,1080,Russia,RU,Moscow,elite,true,40.97,AS61372,AZIMUT TELECOM Ltd,255.45,1783996741.701688
socks4,178.250.156.112,443,Russia,RU,Novoivanovskoye,elite,true,76.98,AS29182,JSC IOT,332.56,1783996741.6213691
socks4,144.31.222.106,7890,Russia,RU,Moscow,elite,true,69.23,AS202831,Ablaykhan Akylbekovich Sharimov,190.36,1783996741.0001147
socks4,178.57.106.43,4145,Russia,RU,Cherepovets,elite,true,41.48,AS61403,SEVER-TELECOM,1301.14,1783996740.9172542
socks4,193.233.129.235,1080,Russia,RU,St Petersburg,elite,true,71.83,AS210644,Aeza International LTD,12046.4,1783996735.844969
socks4,80.87.195.84,2080,Russia,RU,Khimki,elite,true,97.08,AS29182,JSC IOT,3690.94,1783996728.6964018
socks4,89.237.36.129,51549,Russia,RU,Novotroitsk,elite,true,4.38,AS20485,multi-origin SUTTK,7502.14,1783996725.9892657
socks4,94.181.33.149,40840,Russia,RU,Chelyabinsk,elite,true,20.97,AS41661,"CJSC ""ER-Telecom Holding"" Chelyabinsk branch",7649.56,1783996700.7820628
socks4,85.198.83.192,1081,Russia,RU,Moscow,elite,true,50.54,AS9123,"JSC ""TIMEWEB""",1644.88,1783996694.365185
socks4,185.135.81.149,9060,Russia,RU,Kudryashovskiy,elite,true,38.89,AS57494,Adman LLC,15846.24,1783996692.3718057
socks4,45.10.245.79,1085,Russia,RU,Moscow,elite,true,9.25,AS214822,MT FINANCE LLC,25961.06,1783996649.2812834
socks4,91.206.92.212,9050,Russia,RU,Moscow,elite,true,30.94,AS51659,LLC Baxet,9460.08,1783996787.3237808
socks4,95.46.105.163,4145,Russia,RU,Grozny,elite,true,18.93,AS207320,Kompleks Media LLC,353.02,1783996773.3521776
socks4,89.237.33.113,51549,Russia,RU,Novotroitsk,elite,true,4.26,AS20485,multi-origin SUTTK,3417.85,1783996765.8892107
socks4,185.103.109.59,9050,Russia,RU,Moscow,elite,true,26.21,AS205090,First Server Limited,14502.31,1783996755.4614754
socks4,212.46.242.185,1080,Russia,RU,Moscow,elite,true,43.69,AS3216,SOVINTEL/END broadband internet,3390.28,1783997079.3694108
