protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,147.45.76.207,8080,Sweden,SE,Stockholm,elite,true,89.12,AS210644,Aeza International LTD,1533.58,1780884899.4690459
socks4,62.60.149.161,1080,Sweden,SE,Stockholm,elite,true,92.67,AS210644,Aeza International LTD,474.22,1780884894.8716471
socks5,171.25.158.95,1080,Sweden,SE,Vaxjo,elite,true,98.45,AS35100,Patrik Lagerman,491.31,1780884893.6634595
socks5,176.126.70.111,16379,Sweden,SE,Stockholm,elite,true,81.41,AS63473,HostHatch,6222.02,1780884892.840793
socks4,64.112.125.154,9065,Sweden,SE,Stockholm,elite,true,59.86,AS214640,Hostup AB,11406.3,1780884891.937329
socks4,185.100.157.217,1080,Sweden,SE,Stockholm,elite,true,73.67,AS205775,Neon Core Network LLC,113.19,1780884887.0806522
socks5,185.100.157.217,1080,Sweden,SE,Stockholm,elite,true,66.6,AS205775,Neon Core Network LLC,142.34,1780884883.9957044
socks4,64.112.125.154,9066,Sweden,SE,Stockholm,elite,true,53.09,AS214640,Hostup AB,10567.61,1780884883.7972693
socks4,80.78.25.87,9050,Sweden,SE,Stockholm,elite,true,62.97,AS39287,ab stract,20925.94,1780884881.369263
socks5,89.22.226.129,1080,Sweden,SE,Stockholm,elite,true,83.54,AS210644,xorek.cloud International LTD,186.71,1780884878.6791613
socks5,147.45.72.31,45700,Sweden,SE,Stockholm,elite,true,21.59,AS210644,Aeza International LTD,10340.34,1780884866.3064294
socks5,89.22.230.26,1080,Sweden,SE,Stockholm,elite,true,82.43,AS210644,xorek.cloud International LTD,11913.81,1780884861.1953828
socks5,147.45.76.207,8080,Sweden,SE,Stockholm,elite,true,87.5,AS210644,Aeza International LTD,580.19,1780884856.4280584
http,62.60.149.161,3128,Sweden,SE,Stockholm,elite,true,80.58,AS210644,Aeza International LTD,2477.4,1780884817.3585773
socks5,64.112.125.154,9065,Sweden,SE,Stockholm,elite,true,54.29,AS214640,Hostup AB,12485.04,1780884810.9601605
http,185.106.183.85,8080,Sweden,SE,Värmdö Municipality,elite,false,97.55,AS60662,Data Communication & Software i Grondal Aktiebolag,107.66,1780884801.696086
http,176.126.70.31,8080,Sweden,SE,Stockholm,elite,true,78.08,AS63473,HostHatch,7800.78,1780884764.3127484
http,2.26.124.123,3128,Sweden,SE,Stockholm,transparent,true,46.47,AS207567,Ace Data Centers II,13080.55,1780884847.5450125
