protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,217.209.35.22,443,Sweden,SE,Gothenburg,anonymous,true,20.44,AS3301,Telia Company AB,104.96,1780838989.3433437
http,147.45.76.207,3128,Sweden,SE,Stockholm,elite,true,77.35,AS210644,Aeza International LTD,569.37,1780838973.9775856
http,185.103.103.156,1080,Sweden,SE,Stockholm,elite,true,81.2,AS210644,Aeza International LTD,900.46,1780838962.6027193
http,144.31.230.199,3000,Sweden,SE,Stockholm,elite,true,28.37,AS215439,Play2go International Limited,10265.3,1780838939.24903
http,62.60.149.161,3128,Sweden,SE,Stockholm,elite,true,81.08,AS210644,Aeza International LTD,13326.92,1780838936.721525
http,176.126.70.31,8080,Sweden,SE,Stockholm,elite,true,95.22,AS63473,HostHatch,4076.48,1780838929.7133276
http,150.241.75.235,3128,Sweden,SE,Stockholm,elite,false,16.47,AS210644,xorek.cloud International LTD,8546.07,1780838879.4844215
http,138.124.26.172,8118,Sweden,SE,Stockholm,transparent,true,39.83,AS210644,Aeza International LTD,12288.61,1780838861.9359796
http,185.106.183.85,8080,Sweden,SE,Värmdö Municipality,elite,false,98.76,AS60662,Data Communication & Software i Grondal Aktiebolag,106.07,1780838987.6563985
http,2.26.124.123,3128,Sweden,SE,Stockholm,transparent,true,46.9,AS207567,Ace Data Centers II,9632.83,1780838927.3931763
