protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,89.22.238.103,38871,Sweden,SE,Stockholm,elite,true,29.82,AS210644,xorek.cloud International LTD,2936.44,1780279184.2989728
socks4,109.120.133.253,9999,Sweden,SE,Stockholm,elite,true,36.87,AS210644,Aeza International LTD,6691.69,1780279179.38117
socks4,89.22.230.4,7890,Sweden,SE,Stockholm,elite,true,89.3,AS210644,xorek.cloud International LTD,374.82,1780279172.8204088
socks4,147.45.76.207,8080,Sweden,SE,Stockholm,elite,true,99.92,AS210644,Aeza International LTD,1172.38,1780279171.447332
socks4,45.80.231.251,1080,Sweden,SE,Stockholm,elite,true,93.97,AS210644,Aeza International LTD,174.41,1780279171.3489692
socks4,138.124.18.198,1080,Sweden,SE,Stockholm,elite,true,73.57,AS210644,Aeza International LTD,179.98,1780279168.785456
socks4,89.22.225.204,8080,Sweden,SE,Stockholm,elite,true,78.06,AS210644,xorek.cloud International LTD,221.22,1780279164.6008556
socks4,89.22.232.239,1080,Sweden,SE,Stockholm,elite,true,27.18,AS210644,xorek.cloud International LTD,4756.9,1780279126.7885318
socks4,62.60.230.196,1080,Sweden,SE,Stockholm,elite,true,21.55,AS210644,Aeza International LTD,2536.62,1780279186.6315856
socks4,62.60.149.161,1080,Sweden,SE,Stockholm,elite,true,92.17,AS210644,Aeza International LTD,204.26,1780279166.571771
