protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,134.209.98.206,1080,Singapore,SG,Singapore,elite,true,72.12,AS14061,"DigitalOcean, LLC",1048.91,1783072160.3635247
socks4,45.76.182.157,1081,Singapore,SG,Singapore,elite,true,87.94,AS20473,The Constant Company,3153.11,1783072157.153323
socks4,34.124.190.108,8080,Singapore,SG,Singapore,elite,true,41.45,AS396982,Google LLC,7112.78,1783072150.1266036
socks5,134.209.98.206,1080,Singapore,SG,Singapore,elite,true,69.82,AS14061,"DigitalOcean, LLC",3661.15,1783072143.6307936
http,43.160.249.13,9991,Singapore,SG,Singapore,elite,true,19.78,AS132203,Aceville Pte.ltd,6038.5,1783072140.3287365
http,47.245.117.43,80,Singapore,SG,Singapore,elite,true,15.64,AS45102,"Alibaba (US) Technology Co., Ltd.",426.39,1783072137.6014116
socks5,129.150.47.213,9050,Singapore,SG,Singapore,elite,true,39.77,AS31898,Oracle Corporation,11935.23,1783072129.8972006
socks4,167.71.204.247,9050,Singapore,SG,Singapore,elite,true,29.38,AS14061,"DigitalOcean, LLC",8140.3,1783072129.529251
socks5,45.32.119.194,9000,Singapore,SG,Singapore,elite,true,36.57,AS20473,The Constant Company,9859.89,1783072127.8726077
http,43.153.199.126,8888,Singapore,SG,Singapore,elite,true,66.09,AS132203,Shenzhen Tencent Computer Systems Company Limited,402.35,1783072127.425203
http,34.87.80.221,30000,Singapore,SG,Singapore,elite,true,29.58,AS396982,Google LLC,520.64,1783072123.7334936
socks5,34.124.190.108,8080,Singapore,SG,Singapore,elite,true,90.92,AS396982,Google LLC,8978.38,1783072119.1073148
http,8.216.132.206,20002,Singapore,SG,Singapore,elite,true,13.1,AS45102,"Alibaba (US) Technology Co., Ltd.",410.34,1783072117.95957
http,129.150.53.35,3128,Singapore,SG,Singapore,transparent,false,21.55,AS31898,Oracle Corporation,15260.59,1783072109.237951
socks5,47.82.161.58,1080,Singapore,SG,Singapore,elite,true,56.69,AS45102,"Alibaba (US) Technology Co., Ltd.",982.83,1783072109.1002734
http,159.223.87.50,443,Singapore,SG,Singapore,elite,true,47.93,AS14061,"DigitalOcean, LLC",1766.6,1783072107.9325776
socks5,45.77.172.250,1080,Singapore,SG,Singapore,elite,true,86.71,AS20473,The Constant Company,6583.29,1783072100.8795342
socks5,138.199.25.13,3909,Singapore,SG,Singapore,elite,true,31.35,AS60068,DataCamp Limited,11867.82,1783072100.2935078
http,47.236.86.147,443,Singapore,SG,Singapore,elite,true,91.09,AS45102,"Alibaba (US) Technology Co., Ltd.",402.1,1783072098.9901526
http,97.74.87.226,80,Singapore,SG,Singapore,elite,false,70.96,AS26496,"GoDaddy.com, LLC",436.86,1783072098.4175217
socks5,194.233.86.196,1080,Singapore,SG,Singapore,elite,true,45.37,AS141995,Contabo Asia Private Limited,1768.31,1783072097.561875
http,8.219.97.248,80,Singapore,SG,Singapore,elite,true,64.99,AS45102,Alibaba Cloud (Singapore) Private Limited,448.03,1783072079.478577
socks5,167.71.204.247,9050,Singapore,SG,Singapore,elite,true,26.95,AS14061,"DigitalOcean, LLC",28444.21,1783072075.8795712
http,47.79.254.162,8888,Singapore,SG,Singapore,elite,false,68.06,AS45102,"Alibaba (US) Technology Co., Ltd.",914.12,1783072015.3593345
socks4,207.148.71.11,1080,Singapore,SG,Singapore,elite,true,45.86,AS20473,SGP VULTR,7871.42,1783072184.693304
socks5,206.189.144.164,10808,Singapore,SG,Singapore,elite,true,76.92,AS14061,"DigitalOcean, LLC",2066.18,1783072163.0585835
http,206.189.144.164,10808,Singapore,SG,Singapore,elite,true,74.91,AS14061,"DigitalOcean, LLC",666.88,1783072161.482907
http,213.35.113.150,6969,Singapore,SG,Singapore,transparent,true,30.38,AS31898,Oracle Corporation,15267.84,1783072112.8970852
