protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,47.84.204.82,80,Singapore,SG,Singapore,elite,false,99.76,AS45102,Alibaba.com LLC,417.54,1781928545.449828
http,47.79.119.13,8080,Singapore,SG,Singapore,elite,true,93.26,AS45102,Alibaba.com LLC,413.74,1781928538.9553766
http,124.243.150.41,3128,Singapore,SG,Singapore,transparent,true,34.51,AS136907,Huawei International Pte. LTD,5493.72,1781928537.144697
http,47.84.204.82,443,Singapore,SG,Singapore,elite,false,99.65,AS45102,Alibaba.com LLC,413.47,1781928535.5844107
http,47.84.204.82,1080,Singapore,SG,Singapore,elite,false,99.68,AS45102,Alibaba.com LLC,465.4,1781928532.144813
http,47.79.254.162,8888,Singapore,SG,Singapore,elite,true,98.41,AS45102,"Alibaba (US) Technology Co., Ltd.",1193.25,1781928502.9318683
http,15.235.193.159,10046,Singapore,SG,Singapore,elite,false,20.57,AS16276,OVH SAS,5991.05,1781928499.5731502
http,47.236.72.18,8888,Singapore,SG,Singapore,elite,false,24.86,AS45102,"Alibaba (US) Technology Co., Ltd.",1954.46,1781928496.9979763
http,15.235.193.159,10000,Singapore,SG,Singapore,elite,false,31.67,AS16276,OVH SAS,5728.15,1781928493.6500902
http,129.226.92.241,80,Singapore,SG,Singapore,transparent,true,97.55,AS132203,Tencent Cloud Computing (Beijing) Co,403.04,1781928488.9167144
http,157.245.194.13,8888,Singapore,SG,Singapore,transparent,true,12.24,AS14061,"DigitalOcean, LLC",10074.82,1781928478.9710014
http,129.226.93.232,80,Singapore,SG,Singapore,elite,false,87.7,AS132203,Tencent Cloud Computing (Beijing) Co,6193.99,1781928474.402953
http,47.245.117.43,80,Singapore,SG,Singapore,elite,false,13.55,AS45102,"Alibaba (US) Technology Co., Ltd.",473.15,1781928472.6280787
http,139.59.226.65,10808,Singapore,SG,Singapore,elite,true,95.07,AS14061,DIGITALOCEAN,13354.8,1781928450.5963078
