protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,152.69.212.52,3128,Singapore,SG,Singapore,elite,true,64.3,AS31898,Oracle Corporation,401.05,1783490340.3418846
http,144.48.6.42,80,Singapore,SG,Singapore,transparent,true,88.29,AS997,Singapore  Beyotta Network LLP,574.65,1783490339.7558987
http,178.128.59.180,18080,Singapore,SG,Singapore,elite,true,82.8,AS14061,"DigitalOcean, LLC",388.8,1783490331.85391
http,50.7.252.2,8088,Singapore,SG,Singapore,elite,true,99.95,AS30058,FDCservers.net,415.03,1783490322.9864292
http,138.2.88.91,3128,Singapore,SG,Singapore,elite,true,57.78,AS31898,Oracle Corporation,409.77,1783490317.9534383
http,109.123.236.178,8080,Singapore,SG,Singapore,transparent,true,53.09,AS141995,Contabo Asia Private Limited,10428.18,1783490289.7400115
http,8.222.175.80,6128,Singapore,SG,Singapore,transparent,true,11.88,AS45102,"Alibaba (US) Technology Co., Ltd.",15155.68,1783490271.4828339
http,157.245.194.13,8888,Singapore,SG,Singapore,transparent,true,13.22,AS14061,"DigitalOcean, LLC",20821.82,1783490253.3398519
http,138.2.83.219,3128,Singapore,SG,Singapore,elite,true,62.33,AS31898,Oracle Corporation,9790.18,1783490249.994733
http,15.235.193.159,10007,Singapore,SG,Singapore,elite,true,25.55,AS16276,OVH SAS,10403.78,1783490221.8942528
