protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,196.240.190.78,20278,Singapore,SG,Singapore,elite,true,92.1,AS41564,Orion Network Limited,2667.0,1780769380.220725
socks5,138.199.25.13,3905,Singapore,SG,Singapore,elite,true,34.58,AS60068,DataCamp Limited,1043.78,1780769379.4151523
socks5,157.245.155.242,50132,Singapore,SG,Singapore,elite,true,69.61,AS14061,"DigitalOcean, LLC",2238.15,1780769377.9371815
socks5,47.236.53.35,1145,Singapore,SG,Singapore,elite,true,59.8,AS45102,"Alibaba (US) Technology Co., Ltd.",6596.09,1780769376.6642907
socks5,194.76.172.30,1081,Singapore,SG,Singapore,elite,true,71.61,AS50053,Anton Levin,5803.47,1780769375.592886
socks5,196.240.190.74,20424,Singapore,SG,Singapore,elite,true,88.93,AS41564,Orion Network Limited,2444.66,1780769369.1283162
socks5,47.237.102.119,1145,Singapore,SG,Singapore,elite,true,11.37,AS45102,"Alibaba (US) Technology Co., Ltd.",11236.37,1780769367.9491265
socks5,196.240.190.75,20424,Singapore,SG,Singapore,elite,true,88.44,AS41564,Orion Network Limited,6348.79,1780769355.2253094
socks5,196.240.190.77,20424,Singapore,SG,Singapore,elite,true,91.75,AS41564,Orion Network Limited,6559.5,1780769354.8361776
socks5,196.240.190.76,20424,Singapore,SG,Singapore,elite,true,89.04,AS41564,Orion Network Limited,1645.4,1780769354.221437
socks5,196.240.190.77,20202,Singapore,SG,Singapore,elite,true,92.18,AS41564,Orion Network Limited,5890.3,1780769353.10663
socks5,45.76.188.171,1080,Singapore,SG,Singapore,elite,true,88.07,AS20473,The Constant Company,5414.62,1780769349.2557333
socks5,196.240.190.78,20470,Singapore,SG,Singapore,elite,true,92.13,AS41564,Orion Network Limited,6694.05,1780769347.706415
socks5,196.240.190.78,20424,Singapore,SG,Singapore,elite,true,89.35,AS41564,Orion Network Limited,7127.73,1780769340.2522883
socks5,196.240.190.78,20543,Singapore,SG,Singapore,elite,true,94.02,AS41564,Orion Network Limited,1892.65,1780769336.7367268
socks5,139.180.142.71,20069,Singapore,SG,Singapore,elite,true,24.07,AS20473,SGP VULTR,14889.84,1780769331.0070984
socks5,51.79.177.162,1010,Singapore,SG,Singapore,elite,true,99.96,AS16276,OVH SAS,1011.7,1780769327.8387384
socks5,139.180.142.71,11245,Singapore,SG,Singapore,elite,true,21.19,AS20473,SGP VULTR,9735.29,1780769325.728976
socks5,194.76.172.30,1080,Singapore,SG,Singapore,elite,true,68.94,AS50053,Anton Levin,2427.91,1780769323.2529356
socks5,188.166.249.234,3128,Singapore,SG,Singapore,elite,true,96.41,AS14061,"DigitalOcean, LLC",1190.57,1780769321.8862748
socks5,47.237.102.119,1122,Singapore,SG,Singapore,elite,true,11.53,AS45102,"Alibaba (US) Technology Co., Ltd.",3931.48,1780769321.6733294
socks5,157.245.155.242,50125,Singapore,SG,Singapore,elite,true,65.79,AS14061,"DigitalOcean, LLC",5105.95,1780769320.4435875
socks5,34.124.190.108,8080,Singapore,SG,Singapore,elite,true,88.03,AS396982,Google LLC,18652.61,1780769314.7779849
socks5,196.240.190.78,20371,Singapore,SG,Singapore,elite,true,89.98,AS41564,Orion Network Limited,1763.92,1780769314.735485
socks5,196.240.190.74,20202,Singapore,SG,Singapore,elite,true,88.17,AS41564,Orion Network Limited,1986.66,1780769309.1242554
socks5,43.106.60.21,1080,Singapore,SG,Singapore,elite,true,60.71,AS45102,"Alibaba (US) Technology Co., Ltd.",1693.65,1780769304.959217
socks5,196.240.190.78,20202,Singapore,SG,Singapore,elite,true,92.06,AS41564,Orion Network Limited,3023.46,1780769301.2498026
socks5,47.237.102.119,1011,Singapore,SG,Singapore,elite,true,12.31,AS45102,"Alibaba (US) Technology Co., Ltd.",6988.62,1780769297.1805596
socks5,196.240.190.77,20573,Singapore,SG,Singapore,elite,true,91.74,AS41564,Orion Network Limited,7903.06,1780769239.6016443
socks5,196.240.190.76,20202,Singapore,SG,Singapore,elite,true,89.17,AS41564,Orion Network Limited,6879.86,1780769203.8572948
socks5,196.240.190.77,20278,Singapore,SG,Singapore,elite,true,91.54,AS41564,Orion Network Limited,7168.18,1780769187.152497
