protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,78.155.64.222,8080,Syria,SY,Douma,transparent,true,15.26,AS29256,ISP-TARASSUL,4504.54,1782170087.4859803
http,89.43.135.182,8085,Syria,SY,Shuyūkh Taḩtānī,transparent,true,18.16,AS216472,High Speed For Internet Services L.L.C,10392.97,1782170070.3093007
http,139.28.49.104,8080,Syria,SY,Aleppo,transparent,false,30.09,AS216472,High Speed For Internet Services L.L.C,10906.53,1782170068.9358392
http,131.222.210.41,8080,Syria,SY,Damascus,transparent,false,29.47,AS216472,High Speed For Internet Services L.L.C,8738.38,1782170060.9569979
http,89.43.135.106,8080,Syria,SY,Raqqa,transparent,false,31.07,AS216472,High Speed For Internet Services L.L.C,2268.07,1782170045.4291883
http,205.209.66.134,3128,Syria,SY,‘Ayn al ‘Arab,transparent,false,40.51,AS214707,RCell LLC,3619.02,1782170020.3864062
http,89.43.133.242,8080,Syria,SY,Ḩīsh,transparent,false,11.59,AS216472,High Speed For Internet Services L.L.C,10013.93,1782170017.7648664
http,185.235.16.12,80,Syria,SY,Damascus,elite,false,88.97,AS29256,Syrian Telecom,259.9,1782170008.7231078
http,193.43.140.101,8080,Syria,SY,Dārayyā,transparent,false,14.68,AS29256,Syrian Telecom,9628.73,1782169946.9626875
http,89.43.132.250,8080,Syria,SY,Idlib,transparent,true,23.68,AS216472,High Speed For Internet Services L.L.C,7425.04,1782169936.2938957
http,89.43.135.42,8080,Syria,SY,Manbij,transparent,true,16.74,AS216472,High Speed For Internet Services L.L.C,2561.85,1782170071.5472207
http,193.43.159.163,8080,Syria,SY,Irbin,transparent,false,10.62,AS29256,Syrian Telecom,7542.13,1782169982.2704797
http,213.178.250.33,8080,Syria,SY,Damascus,anonymous,true,24.84,AS29256,SCS,5712.28,1782169906.223844
