protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,193.43.140.101,8080,Syria,SY,Dārayyā,transparent,false,14.85,AS29256,Syrian Telecom,1346.03,1783859970.5841076
http,139.28.49.226,8080,Syria,SY,Aleppo,transparent,false,24.69,AS216472,High Speed For Internet Services L.L.C,2794.79,1783859963.5885246
http,185.235.16.12,80,Syria,SY,Damascus,elite,false,89.95,AS29256,Syrian Telecom,327.51,1783859961.004004
http,205.209.66.134,3128,Syria,SY,‘Ayn al ‘Arab,transparent,false,32.1,AS214707,RCell LLC,3245.64,1783859947.806209
http,139.28.49.23,8080,Syria,SY,Aleppo,transparent,false,22.48,AS216472,High Speed For Internet Services L.L.C,3351.29,1783859945.3198965
http,89.43.134.35,8080,Syria,SY,Aleppo,transparent,true,23.23,AS216472,High Speed For Internet Services L.L.C,1317.07,1783859938.4210331
http,78.155.64.222,8080,Syria,SY,Douma,transparent,false,16.67,AS29256,ISP-TARASSUL,2046.35,1783859930.4822855
http,131.222.210.41,8080,Syria,SY,Damascus,transparent,false,29.83,AS216472,High Speed For Internet Services L.L.C,2320.3,1783859925.9635186
http,193.43.159.165,8080,Syria,SY,Al Mulayḩah,transparent,false,24.48,AS29256,Syrian Telecom,3104.89,1783859863.3849154
http,205.209.64.193,8080,Syria,SY,Al-Qamishli,transparent,false,26.81,AS214707,RCell LLC,8919.93,1783859856.7716117
http,193.43.140.240,8080,Syria,SY,Dārayyā,transparent,false,25.86,AS29256,Syrian Telecom,11193.57,1783859851.8261828
http,89.43.132.226,8080,Syria,SY,Arīḩā,transparent,false,23.01,AS216472,High Speed For Internet Services L.L.C,12911.86,1783859837.9038637
