protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,139.28.49.231,8080,Syria,SY,Aleppo,transparent,true,35.26,AS216472,High Speed For Internet Services L.L.C,1963.76,1780918767.267891
http,89.43.135.9,8080,Syria,SY,Manbij,transparent,true,21.76,AS216472,High Speed For Internet Services L.L.C,4072.16,1780918737.5104768
http,193.43.159.166,8080,Syria,SY,Al Mulayḩah,transparent,true,10.48,AS29256,Syrian Telecom,4631.2,1780918731.6544967
http,193.43.159.164,8080,Syria,SY,Al Mulayḩah,transparent,true,28.12,AS29256,Syrian Telecom,5594.25,1780918725.2911887
http,89.43.134.35,8080,Syria,SY,Aleppo,transparent,true,26.17,AS216472,High Speed For Internet Services L.L.C,7584.56,1780918723.3799973
http,89.43.135.73,8080,Syria,SY,Raqqa,transparent,true,26.88,AS216472,High Speed For Internet Services L.L.C,3364.29,1780918711.3978164
http,89.43.132.213,8080,Syria,SY,Ad Dānā,transparent,true,36.39,AS216472,High Speed For Internet Services L.L.C,3897.47,1780918698.4159024
http,89.43.133.165,8080,Syria,SY,Armanāz,transparent,true,19.3,AS216472,High Speed For Internet Services L.L.C,2904.04,1780918697.292643
http,139.28.49.233,8080,Syria,SY,Aleppo,transparent,true,35.49,AS216472,High Speed For Internet Services L.L.C,3903.05,1780918670.335832
http,213.178.250.33,8080,Syria,SY,Damascus,anonymous,true,26.44,AS29256,SCS,14028.27,1780918761.1616657
