protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,124.122.9.117,4153,Thailand,TH,Bangkok,elite,true,82.86,AS17552,"True Internet Co., Ltd.",979.58,1780271960.555555
socks4,159.192.139.42,5678,Thailand,TH,Chon Buri,elite,true,12.06,AS131090,National Telecom Public Company Limited,2221.55,1780271958.8462965
socks4,182.53.96.56,4145,Thailand,TH,Khwaeng Thung Song Hong,elite,true,11.69,AS23969,TOT Public Company Limited,3925.57,1780271956.0345366
socks4,1.179.172.45,31225,Thailand,TH,Bangkok,elite,true,15.52,AS131293,TOT Public Company Limited,4055.81,1780271945.1273553
http,101.109.42.253,8080,Thailand,TH,Bangkok,transparent,false,44.13,AS23969,TOT Public Company Limited,8782.06,1780271923.7595928
socks4,1.179.151.165,31948,Thailand,TH,Ban Phru Nai,elite,true,10.68,AS131293,TOT Public Company Limited,1234.06,1780271915.6129503
http,83.118.60.147,8213,Thailand,TH,Bang Rak,anonymous,false,8.32,AS132280,Symphony Communication Public Company Limited,11603.36,1780271911.887997
http,124.121.58.80,8080,Thailand,TH,Bangkok,transparent,false,48.57,AS17552,TRUEBB,5758.05,1780271885.8158085
http,125.27.192.162,8081,Thailand,TH,Khwaeng Thung Song Hong,transparent,false,11.29,AS23974,TOT Public Company Limited,13132.02,1780271861.8848283
http,118.173.107.123,8080,Thailand,TH,Nakhon Phanom,transparent,false,22.54,AS23969,TOT Public Company Limited,9756.79,1780271794.8669543
http,106.0.168.138,8080,Thailand,TH,Siao,transparent,false,9.68,AS23974,Ministry of Education - EMISC,10360.4,1780271944.4678905
http,202.28.194.139,31280,Thailand,TH,Ratchathewi,elite,true,99.91,AS4621,Office of Info.Tech. Admin. for Educational Development,573.91,1780271877.9075408
socks4,49.229.36.211,4153,Thailand,TH,Bangkok,elite,true,16.79,AS45458,AIS-Corporate,8172.09,1780271950.4492998
http,61.19.30.194,8188,Thailand,TH,Khlong San,transparent,false,34.87,AS9931,Data Comm. Dept. National Telecom Public Company Limited,6523.71,1780271937.0826228
http,58.11.23.199,8080,Thailand,TH,Bangkok,transparent,false,76.34,AS17552,True Internet Corporation CO. Ltd.,10219.62,1780271910.5515335
