protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,202.28.194.139,31280,Thailand,TH,Chiang Mai,elite,true,99.75,AS4621,Office of Info.Tech. Admin. for Educational Development,571.73,1783587288.574688
http,58.11.21.217,8080,Thailand,TH,Bangkok,transparent,true,33.94,AS17552,True Internet Corporation CO. Ltd.,7782.02,1783587277.6576343
http,106.0.168.138,8080,Thailand,TH,Siao,transparent,false,10.89,AS23974,Ministry of Education - EMISC,4653.31,1783587275.4320369
http,171.7.68.70,8080,Thailand,TH,Bangkok,transparent,false,45.01,AS45758,Triple T Broadband Public Company Limited,5559.27,1783587274.7422457
http,83.118.60.147,8213,Thailand,TH,Bang Rak,anonymous,true,10.04,AS132280,Symphony Communication Public Company Limited,9894.86,1783587263.4160252
http,203.172.201.226,8080,Thailand,TH,Yasothon,transparent,false,8.47,AS23974,Ministry of Education - EMISC,8410.15,1783587263.4120867
http,203.172.225.227,8080,Thailand,TH,Pom Prap Sattru Phai,transparent,true,10.76,AS23974,Ministry of Education - EMISC,4055.18,1783587260.6798546
http,203.150.166.174,8080,Thailand,TH,Khon Kaen,transparent,false,4.89,AS4618,Internet Thailand Company Ltd.,16088.92,1783587255.6343148
http,103.10.228.119,8080,Thailand,TH,Ban Mai Khao,transparent,false,9.8,AS131090,CATBB,13626.35,1783587254.0755491
http,47.81.56.193,8888,Thailand,TH,Bangkok,elite,true,77.76,AS45102,Alibaba.com LLC,518.14,1783587248.2420094
http,171.7.23.150,8080,Thailand,TH,Bangkok,transparent,true,45.72,AS45758,Triple T Broadband Public Company Limited,5870.83,1783587245.2745252
http,43.251.205.146,8080,Thailand,TH,Bangkok,transparent,true,32.99,AS134100,"United Information Highway Co., Ltd.",2555.0,1783587242.1198797
http,203.146.80.98,8080,Thailand,TH,Nong Saeng,transparent,true,26.42,AS45458,Advanced Wireless Network Company Limited,8012.03,1783587238.4678555
http,125.27.192.162,8081,Thailand,TH,Khwaeng Thung Song Hong,transparent,false,12.75,AS23974,TOT Public Company Limited,10127.89,1783587142.5118377
