protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,110.49.66.210,8080,Thailand,TH,Mueang Samut Prakan,elite,true,99.04,AS45458,Advanced Wireless Network Company Limited,4173.47,1782704067.2764902
http,202.28.194.139,31280,Thailand,TH,Chiang Mai,elite,true,99.75,AS4621,Office of Info.Tech. Admin. for Educational Development,597.9,1782704058.110148
http,171.103.19.126,8080,Thailand,TH,Bangkok,transparent,true,29.08,AS7470,"True Internet Co., Ltd.",1693.31,1782704051.782542
http,150.107.29.165,3128,Thailand,TH,On Nut,transparent,true,8.81,AS136523,POPIDC,618.38,1782704041.4259915
http,45.136.253.145,3128,Thailand,TH,Nonthaburi,transparent,true,93.85,AS56309,"Siamdata Communication Co., ltd.",8136.09,1782704035.4240918
http,223.204.198.163,8080,Thailand,TH,Pattaya,transparent,true,32.97,AS45758,Triple T Broadband Public Company Limited,530.62,1782704034.9158294
http,113.53.60.22,8080,Thailand,TH,Chachoengsao,transparent,true,11.66,AS23969,TOT Public Company Limited,634.33,1782704029.411892
http,203.150.166.174,8080,Thailand,TH,Khon Kaen,transparent,true,4.83,AS4618,Internet Thailand Company Ltd.,1618.6,1782704028.1165304
http,61.19.30.194,8188,Thailand,TH,Khlong San,transparent,true,26.9,AS9931,Data Comm. Dept. National Telecom Public Company Limited,1685.12,1782704026.9885473
http,203.172.136.211,8080,Thailand,TH,Ratchathewi,transparent,true,11.02,AS23974,Ministry of Education - EMISC,7720.64,1782704024.7648497
