protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,125.26.4.197,4145,Thailand,TH,Bang Kapi,elite,true,16.44,AS23969,TOT Public Company Limited,873.25,1782214200.4116044
socks4,124.122.9.231,4153,Thailand,TH,Bangkok,elite,true,54.58,AS17552,"True Internet Co., Ltd.",953.82,1782214192.9911518
socks4,1.179.151.165,31948,Thailand,TH,Li,elite,true,14.37,AS131293,TOT Public Company Limited,2177.49,1782214184.5663025
socks4,1.2.210.24,4145,Thailand,TH,Bangkok,elite,true,23.66,AS23969,TOT Public Company Limited,1858.44,1782214182.273777
socks4,183.88.240.139,4153,Thailand,TH,Pattaya,elite,true,44.54,AS45758,Triple T Broadband Public Company Limited,1917.54,1782214165.2630713
socks4,159.192.139.42,5678,Thailand,TH,Chon Buri,elite,true,15.87,AS131090,National Telecom Public Company Limited,4110.8,1782214162.8604834
socks4,159.192.121.240,4145,Thailand,TH,Bangkok,elite,true,15.74,AS131090,National Telecom Public Company Limited,2094.55,1782214158.2094958
socks4,1.179.172.45,31225,Thailand,TH,Bangkok,elite,true,18.67,AS131293,TOT Public Company Limited,999.75,1782214156.3788035
socks4,8.213.222.247,8083,Thailand,TH,Bangkok,elite,true,0.82,AS45102,"Alibaba (US) Technology Co., Ltd.",3393.13,1782214153.7751417
socks4,8.213.222.247,81,Thailand,TH,Bangkok,elite,true,0.94,AS45102,"Alibaba (US) Technology Co., Ltd.",10501.58,1782214147.5748482
