protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,176.236.37.132,1080,Türkiye,TR,Istanbul,elite,true,19.78,AS34984,Superonline Iletisim Hizmetleri A.S.,266.25,1783811985.4530344
socks4,185.22.186.249,1080,Turkey,TR,Şişli,elite,true,98.84,AS34619,Cizgi Telekom,301.89,1783811983.9622467
socks4,89.145.186.194,4153,Türkiye,TR,Istanbul,elite,true,62.49,AS198325,Yeni Telekom Internet Hizmetleri Ltd. Sirketi,305.21,1783811980.1188934
socks4,88.247.31.164,4153,Türkiye,TR,Çankaya,elite,true,60.66,AS9121,Turk Telekomunikasyon A.S,403.49,1783811977.631849
socks4,185.71.219.56,9080,Türkiye,TR,Istanbul,elite,true,76.28,AS213535,YottaSrc,676.28,1783811970.8508139
socks4,185.71.219.56,9092,Türkiye,TR,Istanbul,elite,true,52.16,AS213535,YottaSrc,12244.81,1783811963.9182885
http,88.247.17.91,1953,Türkiye,TR,Antalya,elite,true,98.0,AS9121,Turk Telekomunikasyon A.S,365.42,1783811960.382133
http,188.132.150.48,8080,Turkey,TR,Istanbul,transparent,false,17.79,AS216472,High Speed For Internet Services L.L.C,1335.05,1783811954.6866121
http,88.248.251.206,8080,Turkey,TR,Samsun,transparent,true,48.56,AS9121,Turk Telekomunikasyon A.S,3222.1,1783811950.8518815
http,176.88.166.222,8080,Türkiye,TR,Kilis,transparent,true,22.13,AS34984,Superonline Iletisim Hizmetleri A.S.,3942.57,1783811949.8107147
http,131.222.247.18,8080,Türkiye,TR,Antakya,transparent,false,38.18,AS216472,High Speed For Internet Services L.L.C,4545.46,1783811946.6881232
http,176.235.182.69,8080,Türkiye,TR,Kilis,transparent,true,27.03,AS34984,Superonline Iletisim Hizmetleri A.S.,5833.84,1783811937.6282113
http,185.135.99.14,8080,Türkiye,TR,Mersin,transparent,false,17.55,AS43242,ARINET SECURITY & INTERNET CONSULTANCY LTD,7928.17,1783811936.93478
http,188.132.150.46,8080,Turkey,TR,Istanbul,transparent,false,21.16,AS216472,High Speed For Internet Services L.L.C,6218.24,1783811931.0618632
http,88.255.81.73,5050,Türkiye,TR,Istanbul,transparent,false,28.5,AS9121,Turk Telekomunikasyon Anonim Sirketi,6589.73,1783811926.151842
socks5,185.71.219.56,9080,Türkiye,TR,Istanbul,elite,true,66.7,AS213535,YottaSrc,909.87,1783811924.923636
http,195.87.182.10,9090,Türkiye,TR,Istanbul,transparent,false,21.76,AS15924,Vodafone Net Iletisim Hizmetleri A.S.,3439.85,1783811923.6168253
http,5.188.190.218,80,Türkiye,TR,Istanbul,elite,false,94.85,AS202422,G-Core Labs S.A.,1179.22,1783811915.634052
http,188.132.150.44,8080,Turkey,TR,Istanbul,transparent,false,21.98,AS216472,High Speed For Internet Services L.L.C,5608.71,1783811900.9709642
http,131.222.253.78,8080,Türkiye,TR,Antakya,transparent,false,24.79,AS216472,High Speed For Internet Services L.L.C,10299.22,1783811894.6095023
http,109.224.242.209,8080,Turkey,TR,Antakya,transparent,false,13.54,AS216472,High Speed For Internet Services L.L.C,4958.34,1783811886.755923
http,109.224.242.26,8080,Turkey,TR,Antakya,transparent,false,11.98,AS216472,High Speed For Internet Services L.L.C,7488.9,1783811829.1458635
http,195.62.50.59,8080,Turkey,TR,Istanbul,transparent,false,24.35,AS216472,High Speed For Internet Services L.L.C,4181.8,1783811825.6175466
http,78.189.14.199,3310,Türkiye,TR,Çankaya,elite,false,21.51,AS9121,Turk Telekomunikasyon Anonim Sirketi,1269.09,1783811812.3990328
http,195.62.50.30,8080,Turkey,TR,Istanbul,transparent,true,24.32,AS216472,High Speed For Internet Services L.L.C,5473.87,1783811803.5304444
socks5,185.22.186.249,1080,Turkey,TR,Şişli,elite,true,98.48,AS34619,Cizgi Telekom,577.33,1783811799.7067368
http,131.222.253.73,8080,Türkiye,TR,Antakya,transparent,true,26.05,AS216472,High Speed For Internet Services L.L.C,1836.82,1783811781.3598638
http,109.224.242.151,8080,Turkey,TR,Antakya,transparent,false,10.67,AS216472,High Speed For Internet Services L.L.C,1746.67,1783811772.2358902
socks5,93.113.63.11,1080,Turkey,TR,Denizli,elite,true,82.35,AS51559,Netinternet Datacenter,340.58,1783811771.8486567
http,176.88.166.176,8080,Türkiye,TR,Istanbul,transparent,false,19.62,AS34984,Superonline Iletisim Hizmetleri A.S.,8801.38,1783811760.3187783
http,131.222.253.124,8080,Türkiye,TR,Antakya,transparent,true,29.02,AS216472,High Speed For Internet Services L.L.C,7242.91,1783811978.3443866
http,95.3.69.222,8080,Türkiye,TR,Istanbul,transparent,true,98.25,AS9121,Turk Telekomunikasyon Anonim Sirketi,233.24,1783811946.3614218
http,131.222.247.59,8080,Türkiye,TR,Antakya,elite,false,18.25,AS216472,High Speed For Internet Services L.L.C,2322.79,1783811937.519294
http,149.86.151.202,8085,Türkiye,TR,Selçuklu,transparent,false,34.42,AS208972,Gibirnet Iletisim Hizmetleri Sanayi VE Ticaret Limited Sirketi,1647.55,1783811913.9611487
http,131.222.251.245,8080,Türkiye,TR,Antakya,transparent,false,39.08,AS216472,High Speed For Internet Services L.L.C,2314.14,1783811911.7943532
http,149.86.151.172,8080,Türkiye,TR,Selçuklu,transparent,false,13.56,AS208972,Gibirnet Iletisim Hizmetleri Sanayi VE Ticaret Limited Sirketi,7725.36,1783811909.9297175
http,212.252.73.4,8080,Türkiye,TR,Istanbul,transparent,false,21.73,AS34984,Superonline Iletisim Hizmetleri A.S.,4287.69,1783811956.6207523
