protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,188.132.150.47,8080,Turkey,TR,Istanbul,transparent,false,22.75,AS216472,High Speed For Internet Services L.L.C,6716.6,1782646419.037792
http,95.3.69.222,8080,Türkiye,TR,Istanbul,transparent,true,97.32,AS9121,Turk Telekomunikasyon Anonim Sirketi,240.96,1782646417.6651971
http,149.50.231.164,8085,Türkiye,TR,Istanbul,transparent,false,26.09,AS206119,Cogent Communications,3534.92,1782646416.537927
http,88.255.227.38,3128,Türkiye,TR,Çankaya,transparent,false,13.88,AS9121,Turk Telekomunikasyon Anonim Sirketi,3700.08,1782646391.6199067
http,131.222.253.124,8080,Türkiye,TR,Antakya,transparent,false,28.52,AS216472,High Speed For Internet Services L.L.C,3704.32,1782646380.7608566
http,131.222.247.48,8080,Türkiye,TR,Antakya,transparent,false,29.89,AS216472,High Speed For Internet Services L.L.C,13928.45,1782646379.7768974
http,88.255.81.73,5050,Türkiye,TR,Istanbul,transparent,false,27.1,AS9121,Turk Telekomunikasyon Anonim Sirketi,3618.07,1782646369.6091278
http,131.222.251.135,8080,Türkiye,TR,Antakya,transparent,false,26.32,AS216472,High Speed For Internet Services L.L.C,1723.59,1782646359.5398479
http,149.86.151.149,8080,Türkiye,TR,Selçuklu,transparent,false,23.84,AS208972,Gibirnet Iletisim Hizmetleri Sanayi VE Ticaret Limited Sirketi,10278.83,1782646350.3439915
http,88.255.227.34,3128,Türkiye,TR,Çankaya,transparent,false,13.05,AS9121,Turk Telekomunikasyon Anonim Sirketi,10400.2,1782646290.2719104
http,131.222.251.92,8080,Türkiye,TR,Antakya,transparent,false,15.76,AS216472,High Speed For Internet Services L.L.C,3941.05,1782646230.6307354
