protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,131.222.252.71,8080,Türkiye,TR,Antakya,transparent,true,27.42,AS216472,High Speed For Internet Services L.L.C,3345.59,1780925902.0418231
http,31.40.204.188,443,Türkiye,TR,Istanbul,elite,true,76.09,AS44382,"Fiba Cloud Operation Company, LLC",236.69,1780925898.2943416
http,149.86.151.149,8080,Türkiye,TR,Selçuklu,transparent,true,28.1,AS208972,Gibirnet Iletisim Hizmetleri Sanayi VE Ticaret Limited Sirketi,3401.98,1780925894.2395976
http,188.132.150.48,8080,Turkey,TR,Istanbul,transparent,true,15.84,AS216472,High Speed For Internet Services L.L.C,9187.51,1780925884.2361445
http,176.88.65.186,8080,Türkiye,TR,Kilis,transparent,true,10.38,AS34984,Superonline Iletisim Hizmetleri A.S.,10682.44,1780925878.5640283
http,195.62.50.22,8080,Turkey,TR,Istanbul,transparent,true,19.26,AS216472,High Speed For Internet Services L.L.C,6917.27,1780925865.8361351
http,149.34.210.58,9090,Turkey,TR,Istanbul,transparent,true,3.12,AS208972,Gibirnet Iletisim Hizmetleri Sanayi VE Ticaret Limited Sirketi,12851.5,1780925857.7872586
http,131.222.252.68,8080,Türkiye,TR,Antakya,transparent,true,27.71,AS216472,High Speed For Internet Services L.L.C,284.74,1780925842.8227959
http,131.222.251.56,8080,Türkiye,TR,Antakya,transparent,true,42.75,AS216472,High Speed For Internet Services L.L.C,5212.44,1780925803.4745634
http,95.3.69.222,8080,Turkey,TR,Bodrum,transparent,true,100.0,AS9121,Turk Telekomunikasyon Anonim Sirketi,280.16,1780925900.244603
http,203.202.232.142,8888,Türkiye,TR,Istanbul,transparent,true,71.66,AS44382,"Fiba Cloud Operation Company, LLC",8682.9,1780925869.4696507
http,95.6.117.151,8080,Türkiye,TR,Istanbul,transparent,true,33.39,AS9121,Turk Telekomunikasyon Anonim Sirketi,7522.61,1780925863.448901
http,212.252.73.4,8080,Türkiye,TR,Istanbul,transparent,true,21.78,AS34984,Superonline Iletisim Hizmetleri A.S.,8186.46,1780925953.0042245
