protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,93.180.133.58,1084,Turkey,TR,Ümraniye,elite,true,43.4,AS213657,HZD TEKNOLOJI VE INOVASYON SAN. VE TIC. LTD. STI.,442.66,1783747786.2587361
socks4,93.180.133.58,1081,Turkey,TR,Ümraniye,elite,true,32.28,AS213657,HZD TEKNOLOJI VE INOVASYON SAN. VE TIC. LTD. STI.,13968.21,1783747779.1092572
socks4,93.180.133.58,1083,Turkey,TR,Ümraniye,elite,true,27.02,AS213657,HZD TEKNOLOJI VE INOVASYON SAN. VE TIC. LTD. STI.,1731.09,1783747778.8846395
socks4,185.22.186.249,1080,Turkey,TR,Şişli,elite,true,100.0,AS34619,Cizgi Telekom,5268.73,1783747777.5369618
socks4,185.71.219.56,9080,Türkiye,TR,Istanbul,elite,true,87.18,AS213535,YottaSrc,8788.21,1783747777.0415194
socks4,93.180.133.54,1083,Turkey,TR,Ümraniye,elite,true,27.75,AS213657,HZD TEKNOLOJI VE INOVASYON SAN. VE TIC. LTD. STI.,606.86,1783747775.4147568
socks4,93.180.133.55,1081,Turkey,TR,Ümraniye,elite,true,31.48,AS213657,HZD TEKNOLOJI VE INOVASYON SAN. VE TIC. LTD. STI.,13424.84,1783747770.1405423
socks4,93.180.133.56,1083,Turkey,TR,Ümraniye,elite,true,23.05,AS213657,HZD TEKNOLOJI VE INOVASYON SAN. VE TIC. LTD. STI.,1814.9,1783747767.352512
socks4,176.236.37.132,1080,Türkiye,TR,Istanbul,elite,true,19.62,AS34984,Superonline Iletisim Hizmetleri A.S.,291.83,1783747761.3221316
socks4,93.180.133.54,1082,Turkey,TR,Ümraniye,elite,true,30.12,AS213657,HZD TEKNOLOJI VE INOVASYON SAN. VE TIC. LTD. STI.,202.56,1783747803.599354
socks4,93.180.133.55,1082,Turkey,TR,Ümraniye,elite,true,28.03,AS213657,HZD TEKNOLOJI VE INOVASYON SAN. VE TIC. LTD. STI.,328.65,1783747803.406006
socks4,93.180.133.57,1084,Turkey,TR,Ümraniye,elite,true,24.43,AS213657,HZD TEKNOLOJI VE INOVASYON SAN. VE TIC. LTD. STI.,908.41,1783747799.3539014
socks4,93.180.133.57,1082,Turkey,TR,Ümraniye,elite,true,28.53,AS213657,HZD TEKNOLOJI VE INOVASYON SAN. VE TIC. LTD. STI.,612.99,1783747794.6691632
socks4,93.180.133.56,1084,Turkey,TR,Ümraniye,elite,true,30.53,AS213657,HZD TEKNOLOJI VE INOVASYON SAN. VE TIC. LTD. STI.,922.01,1783747793.677598
socks4,93.180.133.56,1081,Turkey,TR,Ümraniye,elite,true,32.61,AS213657,HZD TEKNOLOJI VE INOVASYON SAN. VE TIC. LTD. STI.,1000.14,1783747793.3348787
socks4,93.180.133.56,1082,Turkey,TR,Ümraniye,elite,true,41.24,AS213657,HZD TEKNOLOJI VE INOVASYON SAN. VE TIC. LTD. STI.,437.31,1783747792.80382
socks4,93.180.133.57,1083,Turkey,TR,Ümraniye,elite,true,26.11,AS213657,HZD TEKNOLOJI VE INOVASYON SAN. VE TIC. LTD. STI.,367.64,1783747789.6924336
