protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,125.227.45.187,5001,Taiwan,TW,New Taipei City,elite,true,93.38,AS3462,"Chunghwa Telecom Co., Ltd.",4001.14,1783448695.3804545
socks4,140.235.38.56,50161,Taiwan,TW,Taipei,elite,true,60.0,AS212336,Sunoaki Network LLC,13644.14,1783448678.669416
socks5,125.227.45.189,5001,Taiwan,TW,New Taipei City,elite,true,93.69,AS3462,"Chunghwa Telecom Co., Ltd.",2422.06,1783448676.9837625
socks5,125.227.45.188,5001,Taiwan,TW,New Taipei City,elite,true,93.59,AS3462,"Chunghwa Telecom Co., Ltd.",1541.8,1783448669.9974303
socks5,125.227.45.186,5001,Taiwan,TW,New Taipei City,elite,true,93.68,AS3462,"Chunghwa Telecom Co., Ltd.",1600.38,1783448652.726699
http,34.81.160.132,80,Taiwan,TW,Taipei,elite,false,32.4,AS396982,Google LLC,656.26,1783448644.329825
socks5,125.227.45.184,5001,Taiwan,TW,New Taipei City,elite,true,94.53,AS3462,"Chunghwa Telecom Co., Ltd.",2551.24,1783448627.9741468
socks5,125.227.45.185,5001,Taiwan,TW,New Taipei City,elite,true,94.0,AS3462,"Chunghwa Telecom Co., Ltd.",1537.55,1783448623.762608
socks5,125.227.45.182,5001,Taiwan,TW,New Taipei City,elite,true,93.89,AS3462,"Chunghwa Telecom Co., Ltd.",4589.21,1783448603.9446769
socks5,125.227.45.183,5001,Taiwan,TW,New Taipei City,elite,true,93.45,AS3462,"Chunghwa Telecom Co., Ltd.",5081.96,1783448603.3315406
socks5,125.227.45.181,5001,Taiwan,TW,New Taipei City,elite,true,93.46,AS3462,"Chunghwa Telecom Co., Ltd.",1534.04,1783448586.2926588
socks5,165.154.227.39,1080,Taiwan,TW,Taipei,elite,true,99.9,AS142002,Scloud Pte Ltd,2598.4,1783448584.2590263
socks5,140.235.38.56,50161,Taiwan,TW,Taipei,elite,true,62.74,AS212336,Sunoaki Network LLC,20788.45,1783448532.4206107
