protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,220.128.223.136,8085,Taiwan,TW,New Taipei City,anonymous,false,8.3,AS3462,"Chunghwa Telecom Co., Ltd.",763.16,1781885983.5382922
http,27.147.28.73,8080,Taiwan,TW,Xindian District,transparent,false,6.97,AS18429,"Extra-Lan Technologies Co., LTD",3688.26,1781885976.3520288
http,118.163.120.181,58837,Taiwan,TW,Taipei,elite,false,4.51,AS3462,"Chunghwa Telecom Co., Ltd.",12979.42,1781885973.656472
http,219.84.152.166,3128,Taiwan,TW,New Taipei City,transparent,true,99.59,AS18182,Sony Network Taiwan Limited,2457.63,1781885946.2819264
http,219.84.152.165,3128,Taiwan,TW,New Taipei City,transparent,true,99.01,AS18182,Sony Network Taiwan Limited,947.54,1781885926.3157558
http,220.128.223.136,8083,Taiwan,TW,New Taipei City,anonymous,false,8.32,AS3462,"Chunghwa Telecom Co., Ltd.",724.82,1781885922.175144
http,34.81.160.132,80,Taiwan,TW,Taipei,elite,false,30.7,AS396982,Google LLC,653.53,1781885917.3547323
http,219.84.152.119,3128,Taiwan,TW,New Taipei City,transparent,true,97.59,AS18182,Sony Network Taiwan Limited,787.68,1781885905.625143
http,210.61.216.63,60808,Taiwan,TW,Xinzhuang District,elite,false,5.09,AS3462,"Chunghwa Telecom Co., Ltd.",8749.71,1781885889.6071124
http,210.201.86.72,8080,Taiwan,TW,Banqiao,transparent,false,5.49,AS7482,Asia Pacific On-line Service Inc.,8733.58,1781885803.6895618
