protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,125.227.45.183,5001,Taiwan,TW,New Taipei City,elite,true,95.23,AS3462,"Chunghwa Telecom Co., Ltd.",2884.68,1783093759.3176599
socks5,125.227.45.186,5001,Taiwan,TW,New Taipei City,elite,true,95.89,AS3462,"Chunghwa Telecom Co., Ltd.",1790.12,1783093746.6517932
socks5,103.227.224.96,50161,Taiwan,TW,Taipei,elite,true,96.51,AS148996,Global Communication Network Limited,6143.16,1783093743.4180014
socks5,125.227.45.185,5001,Taiwan,TW,New Taipei City,elite,true,96.01,AS3462,"Chunghwa Telecom Co., Ltd.",2729.2,1783093727.8258355
socks5,125.227.45.189,5001,Taiwan,TW,New Taipei City,elite,true,95.78,AS3462,"Chunghwa Telecom Co., Ltd.",4785.47,1783093719.3772883
socks5,165.154.227.39,1080,Taiwan,TW,Taipei,elite,true,99.89,AS142002,Scloud Pte Ltd,1804.03,1783093713.96141
socks5,141.11.42.160,50161,Taiwan,TW,Taipei,elite,true,88.51,AS38136,Akari Networks,23189.57,1783093700.2770293
socks5,112.105.12.235,1111,Taiwan,TW,Taichung,elite,true,21.86,AS18049,TINP,16777.31,1783093687.9954796
socks5,125.227.45.188,5001,Taiwan,TW,New Taipei City,elite,true,95.13,AS3462,"Chunghwa Telecom Co., Ltd.",10726.39,1783093679.0379295
socks5,125.227.45.187,5001,Taiwan,TW,New Taipei City,elite,true,95.42,AS3462,"Chunghwa Telecom Co., Ltd.",8044.62,1783093677.7370815
socks5,125.227.45.184,5001,Taiwan,TW,New Taipei City,elite,true,96.43,AS3462,"Chunghwa Telecom Co., Ltd.",1705.15,1783093674.0835376
