protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,80.92.227.185,5678,Ukraine,UA,Kyiv,elite,true,12.68,AS1820,WNET TELECOM USA Corp.,270.09,1782258899.7145286
socks4,193.105.62.11,58973,Ukraine,UA,Staryi Liubar,elite,true,12.4,AS196906,PE Brunarsky Andrey Romanovich,3238.4,1782258891.2928019
socks4,195.78.100.186,3629,Ukraine,UA,Kharkiv,elite,true,12.42,AS50772,"Ukrtranstelecom tc, ltd",286.3,1782258889.7592223
socks5,195.39.233.14,44567,Ukraine,UA,Kharkiv,elite,true,34.66,AS28974,Active Operations LLC,310.2,1782258887.8546202
http,176.111.37.216,39811,Ukraine,UA,Dobropol'ye,transparent,true,92.37,AS214743,Cogento Backbone Limited,107.16,1782258882.5796869
http,82.207.117.120,8080,Ukraine,UA,Kyiv,elite,true,23.45,AS6849,"JSC ""Ukrtelecom""",11552.55,1782258878.4792507
http,31.202.49.61,33761,Ukraine,UA,Kharkiv,elite,false,26.77,AS34700,Maxnet LLC,6957.46,1782258872.6558802
socks5,193.107.75.242,33500,Ukraine,UA,Zhytomyr,elite,true,28.62,AS50633,main subblock75,7423.64,1782258819.554707
socks5,91.243.195.9,35860,Ukraine,UA,Dnipro,elite,true,43.36,AS15377,Traditional LLC,251.87,1782258811.7475204
http,94.247.231.172,8080,Ukraine,UA,Kyiv,transparent,false,29.31,AS12963,"""SCIENTIFIC-INDUSTRIAL FIRM ""VOLZ"" LIMITED LIABILITY COMPANY",6435.95,1782258798.4488878
socks5,45.128.188.33,35860,Ukraine,UA,Kyiv,elite,true,43.78,AS43633,Gigabit-Online LLC,1250.69,1782258793.765777
socks5,5.199.239.128,1080,Ukraine,UA,Lviv,elite,true,42.73,AS49984,TELCOM,3231.82,1782258541.5436678
