protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,176.111.37.216,39811,Ukraine,UA,Dobropol'ye,transparent,true,97.67,AS214743,Cogento Backbone Limited,115.63,1780781387.5742264
http,195.34.91.67,8080,Ukraine,UA,Chabany,transparent,false,7.17,AS25514,Modus-Global LLC,8756.55,1780781375.5412536
http,188.190.177.47,8989,Ukraine,UA,Khmelnytskyi,transparent,false,30.35,AS28773,Global Technology Ukraine Ltd,1161.32,1780781368.6190796
http,176.118.144.236,8080,Ukraine,UA,Khmilnyk,transparent,true,40.82,AS21228,"VINASTERISK, PP",4778.8,1780781364.4038246
http,176.111.37.5,39811,Ukraine,UA,Dobropol'ye,transparent,true,96.98,AS214743,Cogento Backbone Limited,114.01,1780781347.5342567
http,46.63.110.85,8080,Ukraine,UA,Khmelnytskyi,transparent,false,24.5,AS51784,"""X-City"" Ltd.",13584.87,1780781340.7772274
http,85.238.106.201,28089,Ukraine,UA,Odesa,transparent,true,36.88,AS6876,TeNeT Networking Centre,3756.45,1780781302.9764276
http,185.65.247.133,48049,Ukraine,UA,Kyiv,transparent,false,6.63,AS200000,Hosting Ukraine LTD,2593.53,1780781302.6758862
http,176.37.21.46,41890,Ukraine,UA,Kyiv,transparent,false,6.72,AS39608,Lanet Network,8793.22,1780781287.7279851
http,176.105.199.153,8010,Ukraine,UA,Vinnytsia,transparent,false,5.72,AS24812,NPK Home-Net Ltd,10763.74,1780781278.307664
http,176.105.212.219,8080,Ukraine,UA,Dmitrovka,transparent,true,9.33,AS24812,RPC HomeNet Ltd.,9337.49,1780781224.5066226
http,94.247.231.172,8080,Ukraine,UA,Kyiv,transparent,false,36.91,AS12963,"""SCIENTIFIC-INDUSTRIAL FIRM ""VOLZ"" LIMITED LIABILITY COMPANY",3791.43,1780781368.6210167
http,213.231.7.10,8282,Ukraine,UA,Odesa,elite,false,10.18,AS34661,"TOV TRK ""Briz""",5112.22,1780781329.4055357
