protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,176.111.37.216,39811,Ukraine,UA,Dobropol'ye,transparent,true,93.22,AS214743,Cogento Backbone Limited,241.18,1783773578.3813512
http,130.0.235.99,10001,Ukraine,UA,Kyiv,elite,true,66.27,AS15626,Green Floid LLC,1425.35,1783773574.4531348
http,130.0.238.57,10001,Ukraine,UA,Kyiv,elite,true,66.59,AS15626,UK-3NT,4282.24,1783773568.4238608
http,130.0.232.100,10001,Ukraine,UA,Kyiv,elite,true,65.63,AS15626,UK-3NT,1303.5,1783773568.3377576
http,130.0.235.200,10001,Ukraine,UA,Kyiv,elite,true,68.23,AS15626,Green Floid LLC,1279.11,1783773562.3477519
http,176.111.37.5,39811,Ukraine,UA,Dobropol'ye,transparent,true,93.51,AS214743,Cogento Backbone Limited,182.91,1783773549.5972588
http,46.185.34.136,8187,Ukraine,UA,Poltava,transparent,true,10.78,AS15895,Kyivstar UA,3330.96,1783773544.7038815
http,130.0.239.40,10001,Ukraine,UA,Kyiv,elite,true,66.95,AS15626,UK-3NT,8579.05,1783773542.6883903
http,130.0.237.170,10001,Ukraine,UA,Kyiv,elite,true,67.39,AS15626,UK-3NT,8573.13,1783773541.3281927
http,185.65.247.133,48049,Ukraine,UA,Kyiv,transparent,true,7.12,AS200000,Hosting Ukraine LTD,8401.05,1783773528.3082952
http,130.0.238.52,10001,Ukraine,UA,Kyiv,elite,true,66.6,AS15626,UK-3NT,8812.24,1783773432.4066353
http,130.0.238.207,10001,Ukraine,UA,Kyiv,elite,true,66.6,AS15626,UK-3NT,3371.99,1783773466.6058195
