protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,46.219.1.20,5678,Ukraine,UA,Kyiv,elite,true,45.22,AS31148,o3 core,3193.71,1783890255.0961485
socks4,185.244.158.4,3129,Ukraine,UA,Kyiv,elite,true,58.15,AS41985,Stargroup LLC,249.46,1783890253.234127
socks4,188.190.180.166,5678,Ukraine,UA,Khmelnytskyi,elite,true,61.72,AS28773,Global Technology Ukraine Ltd,1214.99,1783890248.913439
socks4,80.92.227.185,5678,Ukraine,UA,Kyiv,elite,true,14.81,AS1820,WNET TELECOM USA Corp.,261.87,1783890244.9853013
socks4,46.98.192.116,5678,Ukraine,UA,Dnipro,elite,true,46.54,AS15377,"ISP ""Fregat""",222.96,1783890244.2320073
socks4,81.162.249.129,4153,Ukraine,UA,Oleksandriya,elite,true,47.9,AS44032,"PP ""TRC""City TV center""",214.87,1783890240.9065309
socks4,193.106.57.96,5678,Ukraine,UA,Kyiv,elite,true,16.44,AS42510,Magic Line,3248.13,1783890237.7721558
socks4,217.77.223.2,9050,Ukraine,UA,Mykolayiv,elite,true,22.16,AS31272,WildPark Co,8113.38,1783890227.2084906
socks4,193.105.62.11,58973,Ukraine,UA,Staryi Liubar,elite,true,14.48,AS196906,PE Brunarsky Andrey Romanovich,209.02,1783890222.0915256
socks4,195.78.100.186,3629,Ukraine,UA,Kharkiv,elite,true,14.05,AS50772,"Ukrtranstelecom tc, ltd",1212.62,1783890211.859332
socks4,95.182.78.10,5678,Ukraine,UA,Liuboml,elite,true,7.69,AS50648,PE UAinet,1208.36,1783890299.4459481
socks4,95.85.72.90,45269,Ukraine,UA,Kyiv,elite,true,6.2,AS202422,G-Core Labs S.A,748.53,1783890284.1440659
socks4,95.182.78.7,5678,Ukraine,UA,Liuboml,elite,true,3.23,AS50648,PE UAinet,7306.15,1783890281.6952477
