protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,34.43.46.91,80,United States,US,Mountain View,elite,true,94.74,AS396982,Google LLC,202.53,1782976457.8860817
http,104.154.186.48,80,United States,US,Council Bluffs,anonymous,true,50.3,AS396982,Google LLC,287.73,1782976451.294885
http,107.174.107.161,2001,United States,US,Los Angeles,elite,true,22.19,AS36352,HostPapa,1314.86,1782976449.4508116
http,70.35.196.194,8086,United States,US,Sulphur Springs,elite,true,67.81,AS8560,IONOS SE,4730.45,1782976447.3943977
http,199.182.135.85,3128,United States,US,Chicago,elite,true,80.02,AS54110,Modulis,8460.39,1782976446.9416504
http,104.152.50.252,8000,United States,US,Los Angeles,elite,true,99.44,AS18450,"WebNX, Inc.",321.0,1782976446.6093705
http,70.35.196.194,8089,United States,US,Sulphur Springs,elite,true,63.44,AS8560,IONOS SE,2744.2,1782976444.6350765
http,92.118.112.32,1082,United States,US,Atlanta,elite,true,61.35,AS215540,Global Connectivity Solutions LLP,3281.14,1782976442.1385207
http,49.51.228.35,81,United States,US,Santa Clara,elite,true,98.78,AS132203,OPHL,5017.79,1782976440.709349
http,70.35.196.194,8081,United States,US,Sulphur Springs,elite,true,58.38,AS8560,IONOS SE,13446.76,1782976431.6330342
http,70.35.196.194,8088,United States,US,Sulphur Springs,elite,true,63.76,AS8560,IONOS SE,15180.85,1782976426.6533003
http,45.153.4.154,3128,United States,US,Columbus,transparent,true,95.45,AS211826,Istqrar for Servers Services Ltd,78.07,1782976421.030643
http,5.161.50.82,8118,United States,US,Ashburn,elite,true,54.14,AS213230,Hetzner Online GmbH,2282.83,1782976418.4772644
http,51.81.6.158,3128,United States,US,Reston,transparent,true,9.77,AS16276,OVH SAS,3219.69,1782976413.975265
http,205.215.247.164,3128,United States,US,Baltimore,transparent,true,73.59,AS32829,"Port Networks, Inc.",798.7,1782976410.718615
http,15.204.151.146,3128,United States,US,Reston,transparent,true,18.06,AS16276,OVH SAS,13065.61,1782976407.4236217
http,47.89.184.18,3128,United States,US,Charlottesville,elite,true,81.74,AS45102,Alibaba.com LLC,337.6,1782976399.6987817
http,70.35.196.194,8090,United States,US,Sulphur Springs,elite,true,59.11,AS8560,IONOS SE,6966.05,1782976388.8975673
http,70.35.196.194,8084,United States,US,Sulphur Springs,elite,true,60.62,AS8560,IONOS SE,2347.1,1782976372.1110022
http,70.35.196.194,8087,United States,US,Sulphur Springs,elite,true,57.65,AS8560,IONOS SE,7926.9,1782976367.813272
http,34.43.46.91,443,United States,US,Mountain View,elite,true,94.76,AS396982,Google LLC,360.85,1782976353.0013876
http,178.156.206.253,8118,United States,US,Ashburn,elite,true,64.77,AS213230,Hetzner Online GmbH,1292.81,1782976349.282354
http,207.177.122.144,8080,United States,US,Burlington,transparent,true,13.43,AS5056,Aureon Network Services,2781.28,1782976493.3918593
http,207.246.234.115,4669,United States,US,Clovis,elite,true,9.45,AS21782,Plateau Telecommunications Incorporated,2094.48,1782976408.8498642
