protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,190.120.249.149,4145,Venezuela,VE,Caracas,elite,true,4.95,AS264628,"CORPORACION FIBEX TELECOM, C.A.",1760.12,1783778334.5192242
socks4,170.254.173.6,1080,Venezuela,VE,Maturín,elite,true,59.71,AS265641,TELECOMUNICACIONES ROCARLI C.A (CIX BROADBAND),3782.28,1783778331.5060523
http,82.86.112.52,999,Venezuela,VE,Maracay,transparent,false,25.65,AS267809,360net C.A.,3647.88,1783778325.3042552
http,190.97.253.235,999,Venezuela,VE,San Cristóbal,transparent,false,12.89,AS263703,Viginet C.A,3542.28,1783778324.8410673
http,38.188.48.65,8080,Venezuela,VE,Tucacas,transparent,true,23.43,AS273197,Cogent Communications,3492.15,1783778321.4769776
http,38.41.0.116,999,Venezuela,VE,Mérida,anonymous,true,22.38,AS269832,MDS TELECOM C.A.,507.57,1783778310.6150997
http,190.97.230.146,999,Venezuela,VE,Betijoque,transparent,false,8.41,AS263703,Viginet C.A,11141.26,1783778295.716002
http,38.41.27.150,11201,Venezuela,VE,Caracas,transparent,false,7.44,AS269832,MDS TELECOM C.A.,6206.31,1783778282.5952463
http,190.97.239.56,999,Venezuela,VE,Timotes,transparent,false,11.05,AS263703,,10614.05,1783778276.5744016
http,38.159.62.32,999,Venezuela,VE,Barquisimeto,transparent,false,11.99,AS269946,Boom Solutions C.A,9012.74,1783778267.8157732
http,190.52.110.43,999,Venezuela,VE,Caracas,transparent,false,13.16,AS394684,Gold Data USA Inc,13069.91,1783778260.9879057
http,45.186.209.59,999,Venezuela,VE,Caracas,transparent,true,18.13,AS263703,Viginet C.A,6314.93,1783778249.8692417
http,190.97.253.234,999,Venezuela,VE,San Cristóbal,transparent,false,13.8,AS263703,Viginet C.A,9372.22,1783778245.4279234
http,190.97.238.2,999,Venezuela,VE,San José de Aerocuar,transparent,false,17.04,AS263703,,8508.94,1783778231.3104725
http,190.202.13.218,999,Venezuela,VE,Caracas,transparent,false,40.63,AS8048,"CANTV Servicios, Venezuela",2093.38,1783778227.888529
http,141.136.63.126,8080,Venezuela,VE,La Grita,transparent,false,34.16,AS208888,FRONTERA,1876.33,1783778218.169882
http,190.52.110.95,999,Venezuela,VE,Caracas,transparent,false,20.69,AS394684,Gold Data USA Inc,8764.97,1783778211.888844
http,190.97.254.254,999,Venezuela,VE,San Cristóbal,transparent,true,10.7,AS263703,Viginet C.A,3116.57,1783778180.1357343
http,186.167.49.106,8080,Venezuela,VE,Barquisimeto,transparent,false,46.75,AS27717,Corporacion Digitel C.A,3470.6,1783778160.699886
http,190.97.224.99,999,Venezuela,VE,Alto Barinas,transparent,false,12.76,AS263703,Viginet C.A,4852.55,1783778152.8002687
http,38.41.0.87,999,Venezuela,VE,Caracas,transparent,false,24.46,AS269832,MDS TELECOM C.A.,864.42,1783778114.8672464
http,190.97.228.67,999,Venezuela,VE,Araure,transparent,false,9.93,AS263703,Viginet C.A,14507.02,1783778096.835945
