protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,190.52.108.171,999,Venezuela,VE,Caracas,transparent,false,26.22,AS394684,Gold Data USA Inc,3711.84,1780429174.457667
http,45.186.208.34,8080,Venezuela,VE,Caracas,transparent,false,8.95,AS263703,Viginet C.A,4713.98,1780429170.4199486
http,190.97.236.126,999,Venezuela,VE,San Cristóbal,transparent,false,28.53,AS263703,Viginet C.A,1444.58,1780429168.332788
http,190.97.230.146,999,Venezuela,VE,Barquisimeto,transparent,false,7.66,AS263703,Viginet C.A,3553.69,1780429167.2847252
http,45.187.6.103,8080,Venezuela,VE,Ciudad Guayana,transparent,false,21.73,AS269846,"T.V ZAMORA, C.A.",2349.9,1780429162.6299086
http,38.41.0.116,999,Venezuela,VE,Mérida,anonymous,false,38.25,AS269832,MDS TELECOM C.A.,4851.81,1780429162.3818147
http,38.172.160.160,999,Venezuela,VE,Barquisimeto,transparent,false,56.52,AS270026,"RED SERVITEL, CA",10023.39,1780429158.8184474
http,190.97.232.196,999,Venezuela,VE,Barinas,anonymous,false,36.51,AS263703,Viginet C.A,13223.98,1780429153.7974963
http,45.230.168.37,999,Venezuela,VE,Caracas,anonymous,false,27.36,AS266742,Soluciones DCN Network C.A,8230.63,1780429152.1125634
http,38.183.212.8,999,Venezuela,VE,Turmero,transparent,false,11.67,AS273093,"WISP TECNOGER, C.A",1355.66,1780429151.5384762
http,45.186.209.68,999,Venezuela,VE,Caracas,transparent,true,26.17,AS263703,Viginet C.A,1365.26,1780429141.2083428
http,38.159.62.7,999,Venezuela,VE,Barquisimeto,transparent,false,9.05,AS269946,Boom Solutions C.A,6933.97,1780429125.6439877
http,38.51.237.100,999,Venezuela,VE,Cabimas,transparent,false,26.48,AS271907,Colnetwork C.A,9314.74,1780429118.5546856
http,190.97.239.24,999,Venezuela,VE,Maracaibo,transparent,false,10.05,AS263703,,2803.69,1780429111.5655532
http,190.97.249.29,999,Venezuela,VE,Mérida,transparent,false,10.23,AS263703,Viginet C.A,11596.92,1780429109.2477863
http,190.97.236.153,999,Venezuela,VE,San Cristóbal,transparent,false,5.12,AS263703,Viginet C.A,11719.52,1780429071.5439157
http,186.96.74.144,999,Venezuela,VE,Caracas,transparent,false,21.87,AS394684,Gold Data USA Inc,4013.45,1780429067.007895
http,45.230.171.1,999,Venezuela,VE,Caracas,transparent,false,22.75,AS266742,Soluciones DCN Network C.A,4987.63,1780429060.0079203
http,200.59.186.158,999,Venezuela,VE,Trujillo,transparent,false,11.44,AS264778,TotalCom Venezuela C.A.,1130.23,1780429057.3303208
http,38.224.32.186,999,Venezuela,VE,Valera,transparent,false,12.44,AS273007,"SPEEDNET, C.A",5545.55,1780429046.325809
http,190.8.164.245,999,Venezuela,VE,Porlamar,transparent,true,10.25,AS264628,"CORPORACION FIBEX TELECOM, C.A.",3393.79,1780429044.0959153
http,190.97.254.154,8080,Venezuela,VE,Ocumare,transparent,false,16.03,AS263703,Viginet C.A,6267.52,1780429037.7802942
http,190.97.239.21,999,Venezuela,VE,Maracaibo,transparent,false,12.77,AS263703,,3906.91,1780429032.221248
http,190.52.110.43,999,Venezuela,VE,Caracas,transparent,false,11.51,AS394684,Gold Data Colombia,3332.5,1780429013.3868241
http,190.94.213.80,999,Venezuela,VE,Caracas,transparent,false,6.29,AS8053,IFX Networks Venezuela C.A.,5069.11,1780429010.576986
http,45.230.170.13,999,Venezuela,VE,Caracas,transparent,true,29.93,AS266742,Soluciones DCN Network C.A,12235.2,1780429008.6358612
http,200.59.191.100,999,Venezuela,VE,Valera,transparent,true,31.07,AS264778,TotalCom Venezuela C.A.,2249.98,1780429153.308908
http,200.59.191.98,999,Venezuela,VE,Valera,transparent,true,22.72,AS264778,TotalCom Venezuela C.A.,3488.33,1780429132.534601
