protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,190.94.212.247,999,Venezuela,VE,Caracas,transparent,true,6.16,AS8053,IFX Networks Venezuela C.A.,2562.6,1780838988.039193
http,190.97.236.155,999,Venezuela,VE,San Cristóbal,transparent,true,11.99,AS263703,Viginet C.A,7149.53,1780838977.8742106
http,190.94.244.30,8080,Venezuela,VE,Caracas,transparent,true,48.44,AS8053,IFX Networks Venezuela C.A.,11852.78,1780838970.547102
http,45.230.171.1,999,Venezuela,VE,Caracas,transparent,true,21.68,AS266742,Soluciones DCN Network C.A,4640.03,1780838952.194251
http,190.97.239.16,999,Venezuela,VE,Maracaibo,transparent,true,13.97,AS263703,,7856.24,1780838947.1838415
http,190.52.108.172,999,Venezuela,VE,Caracas,transparent,true,25.03,AS394684,Gold Data USA Inc,505.5,1780838935.2398553
http,190.97.239.21,999,Venezuela,VE,Maracaibo,transparent,true,13.14,AS263703,,2509.35,1780838773.5494907
http,201.71.2.61,999,Venezuela,VE,Santa Lucía,transparent,true,39.07,AS269920,Inversiones Rdn3 C.A.,6180.89,1780838981.5206559
http,45.186.209.66,999,Venezuela,VE,Caracas,transparent,true,20.67,AS263703,Viginet C.A,1668.5,1780838949.9767566
http,200.59.186.158,999,Venezuela,VE,Trujillo,transparent,true,11.68,AS264778,TotalCom Venezuela C.A.,2630.71,1780838911.9159355
