protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,117.6.106.192,1080,Vietnam,VN,Hanoi,elite,true,94.73,AS7552,VIETTEL,968.11,1783320602.6319172
socks5,103.61.122.229,1080,Vietnam,VN,Thanh Liệt,elite,true,91.23,AS135905,H2 VIET NAM TECHNOLOGY SOLUTIONS COMPANY LIMITED,2410.2,1783320600.1598682
socks4,101.96.117.164,1080,Vietnam,VN,Tây Hồ,elite,true,6.41,AS24173,NetNam Corporation,909.91,1783320599.6466203
http,113.160.132.26,8080,Vietnam,VN,Hanoi,elite,true,97.71,AS45899,VietNam Post and Telecom Corporation,1689.44,1783320599.4437335
socks5,116.105.18.110,1080,Vietnam,VN,Da Nang,elite,true,61.34,AS24086,Viettel Group,4197.5,1783320598.11477
socks4,14.241.182.44,5678,Vietnam,VN,Ho Chi Minh City,elite,true,48.4,AS45899,VNPT,4158.28,1783320596.2231307
socks4,27.76.194.0,1080,Vietnam,VN,Ha Long,elite,true,37.29,AS7552,Newass2011xDSLHCMC,1013.46,1783320594.2259376
socks5,156.232.99.59,10801,Vietnam,VN,Hanoi,elite,true,96.44,AS135377,Ucloud,6341.36,1783320593.4166727
socks4,103.61.122.229,1080,Vietnam,VN,Thanh Liệt,elite,true,94.4,AS135905,H2 VIET NAM TECHNOLOGY SOLUTIONS COMPANY LIMITED,1608.21,1783320592.9350653
socks4,156.232.99.59,10808,Vietnam,VN,Hanoi,elite,true,97.57,AS135377,Ucloud,12928.06,1783320590.5957341
socks4,14.232.166.150,5678,Vietnam,VN,Hanoi,elite,true,14.57,AS45899,VNPT,4128.54,1783320590.2972507
socks4,27.68.171.149,1080,Vietnam,VN,Nha Trang,elite,true,37.98,AS7552,Viettel Group,921.02,1783320590.2364614
socks4,160.250.54.5,9000,Vietnam,VN,Quận Một,elite,true,44.56,AS153320,Sandclock Service Trading Company Limited,4997.26,1783320589.6029482
socks5,36.50.177.175,1080,Vietnam,VN,Quận Hai,elite,true,29.83,AS151858,ANTOANDULIEU,1149.8,1783320588.1722252
socks5,117.6.106.192,1080,Vietnam,VN,Hanoi,elite,true,92.22,AS7552,VIETTEL,1121.97,1783320586.605234
socks4,116.100.217.105,1080,Vietnam,VN,Hanoi,elite,true,31.41,AS24086,Viettel Group,922.23,1783320583.9275672
socks5,160.250.54.7,9000,Vietnam,VN,Quận Một,elite,true,42.24,AS153320,Sandclock Service Trading Company Limited,10611.86,1783320582.8591552
socks4,27.65.112.189,1080,Vietnam,VN,Ho Chi Minh City,elite,true,27.43,AS7552,Viettel Group,944.06,1783320581.6548707
http,123.30.234.233,1314,Vietnam,VN,Hanoi,elite,true,28.02,AS45899,VietNam Post and Telecom Corporation,724.28,1783320581.3575659
http,171.249.163.170,1452,Vietnam,VN,Ho Chi Minh City,elite,false,10.65,AS7552,Viettel Corporation,4208.07,1783320577.7199028
http,137.59.47.73,3128,Vietnam,VN,Mai Dich,transparent,true,81.0,AS131429,MOBIFONECNTT,543.65,1783320576.11812
socks4,115.74.156.60,1080,Vietnam,VN,Ho Chi Minh City,elite,true,37.28,AS7552,VIETELxdsl,914.83,1783320569.9896553
http,156.232.99.59,10808,Vietnam,VN,Hanoi,elite,true,80.13,AS135377,Ucloud,5334.79,1783320564.8548121
socks5,160.250.54.5,9000,Vietnam,VN,Quận Một,elite,true,47.18,AS153320,Sandclock Service Trading Company Limited,3005.35,1783320564.213588
http,160.30.113.24,3128,Vietnam,VN,Quận Ba,elite,false,15.67,AS135918,MAYCHUMANG,5082.07,1783320561.89625
socks5,113.160.188.21,1080,Vietnam,VN,Thanh Hóa,elite,true,37.24,AS45899,VietNam Post and Telecom Corporation,3117.47,1783320560.6065955
http,103.82.20.76,8080,Vietnam,VN,Dich Vong,elite,true,80.63,AS135905,INETACADEMY,639.4,1783320559.8545735
http,123.58.199.232,8168,Vietnam,VN,Ho Chi Minh City,elite,false,25.66,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,8979.72,1783320558.6182618
socks5,103.179.172.167,18888,Vietnam,VN,Dich Vong,elite,true,45.72,AS135905,Vietnam Posts and Telecommunications Group,2072.49,1783320555.3007033
socks4,113.166.93.239,5678,Vietnam,VN,Duong Dong,elite,true,74.54,AS45899,VietNam Post and Telecom Corporation,8436.38,1783320554.8015003
http,160.30.112.147,3128,Vietnam,VN,Quận Ba,transparent,true,35.78,AS135918,MAYCHUMANG,693.71,1783320550.1661744
http,160.187.247.71,8888,Vietnam,VN,Ho Chi Minh City,elite,false,17.75,AS150862,DVDVN,3074.44,1783320548.2303233
socks4,113.161.6.170,1080,Vietnam,VN,Ho Chi Minh City,elite,true,56.87,AS45899,VietNam Post and Telecom Corporation,2118.26,1783320546.8763154
http,101.96.98.138,8080,Vietnam,VN,Nghia Do,transparent,false,22.06,AS24173,NetNam Corporation,5246.72,1783320542.3735077
socks5,156.232.99.59,10808,Vietnam,VN,Hanoi,elite,true,96.57,AS135377,Ucloud,6933.57,1783320534.8696952
http,103.129.127.244,8088,Vietnam,VN,Ho Chi Minh City,elite,true,73.63,AS135918,THIENTUANSTECH,14123.34,1783320534.625325
http,157.10.51.84,3128,Vietnam,VN,Thụy Phương,transparent,true,37.2,AS63737,NEWCLOUD,12734.58,1783320534.4740024
http,14.225.253.195,13579,Vietnam,VN,Hanoi,anonymous,true,11.7,AS135905,Vietnam Posts and Telecommunications Group,11953.33,1783320529.3202062
http,171.247.175.189,8080,Vietnam,VN,Ho Chi Minh City,elite,false,23.39,AS7552,Viettel Corporation,10472.11,1783320527.255391
http,14.170.154.193,19132,Vietnam,VN,Thai Nguyen,transparent,false,7.34,AS45899,VNPT-VNNIC,9573.67,1783320507.6349392
http,14.225.240.23,8562,Vietnam,VN,Ho Chi Minh City,elite,false,45.44,AS135905,Vietnam Posts and Telecommunications Group,2619.52,1783320504.222654
http,113.161.59.136,8080,Vietnam,VN,Ho Chi Minh City,transparent,false,6.5,AS45899,VietNam Post and Telecom Corporation,3585.21,1783320494.4158561
http,113.160.204.60,8080,Vietnam,VN,Thái Bình,transparent,false,6.4,AS45899,VietNam Post and Telecom Corporation,6524.02,1783320459.7678146
socks5,113.168.48.123,1080,Vietnam,VN,Hanoi,elite,true,35.07,AS45899,VietNam Post and Telecom Corporation,2639.92,1783320447.72842
socks4,103.221.228.50,5678,Vietnam,VN,Hai Bà Trưng,elite,true,24.75,AS63747,BUUDIENCP16,1113.4,1783320603.4138007
socks5,160.250.54.6,9000,Vietnam,VN,Quận Một,elite,true,42.4,AS153320,Sandclock Service Trading Company Limited,4908.65,1783320595.2505548
socks4,103.179.189.64,9191,Vietnam,VN,Dich Vong,elite,true,34.78,AS135905,INETSOLUTION,15821.05,1783320563.8685703
http,160.25.234.112,3128,Vietnam,VN,Hanoi,transparent,true,35.95,AS63737,ETCNETWORK,6874.51,1783320539.2185428
http,103.69.96.15,7777,Vietnam,VN,Bút Sơn,elite,true,84.84,AS135918,VNCLOUD,714.91,1783320534.5971708
http,103.28.37.131,3128,Vietnam,VN,Đống Đa,transparent,true,50.95,AS131353,NhanHoa Software Company,1273.95,1783320490.7981255
