protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,203.205.49.2,10245,Vietnam,VN,Mai Dich,elite,false,17.76,AS45903,CMC Telecom Infrastructure Company,657.17,1780323563.7820978
http,123.58.199.232,8168,Vietnam,VN,Ho Chi Minh City,elite,false,20.59,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,8851.64,1780323560.5383599
http,128.14.92.91,3128,Vietnam,VN,Hanoi,elite,false,21.69,AS21859,Zenlayer Inc,10915.48,1780323552.3661895
http,128.14.92.89,22891,Vietnam,VN,Hanoi,elite,true,70.52,AS21859,Zenlayer Inc,15804.67,1780323525.79992
http,103.146.122.126,808,Vietnam,VN,Hanoi,elite,true,1.63,AS149123,VU GIA Technology Investment Joint Stock Company,635.52,1780323524.6941295
http,203.205.49.2,10183,Vietnam,VN,Mai Dich,elite,false,25.73,AS45903,CMC Telecom Infrastructure Company,655.64,1780323513.9843757
http,113.176.92.71,3128,Vietnam,VN,Cà Mau,transparent,false,57.96,AS45899,VNPT,12743.86,1780323512.0158696
http,103.17.140.87,8080,Vietnam,VN,Nghia Do,elite,true,100.0,AS38253,HICLOUDHN,1103.18,1780323505.5134432
http,27.67.54.178,8080,Vietnam,VN,Hanoi,transparent,false,7.8,AS7552,Viettel Group,4190.98,1780323503.9487586
http,128.14.92.86,22892,Vietnam,VN,Hanoi,elite,false,27.84,AS21859,Zenlayer Inc,14301.76,1780323501.4000502
http,118.69.183.149,8080,Vietnam,VN,Ho Chi Minh City,transparent,false,8.48,AS18403,Vietnam Internet Network Information Center,13680.99,1780323501.2821007
http,128.14.92.92,22892,Vietnam,VN,Hanoi,elite,false,27.12,AS21859,Zenlayer Inc,15969.25,1780323490.3159254
http,128.14.92.90,22886,Vietnam,VN,Hanoi,elite,false,44.8,AS21859,Zenlayer Inc,10776.75,1780323484.6279497
http,128.14.92.86,3128,Vietnam,VN,Hanoi,elite,false,31.72,AS21859,Zenlayer Inc,12365.77,1780323477.3825865
http,128.14.92.89,22881,Vietnam,VN,Hanoi,elite,true,60.26,AS21859,Zenlayer Inc,9777.01,1780323473.4879854
http,14.225.240.23,8562,Vietnam,VN,Ho Chi Minh City,elite,true,43.3,AS135905,Vietnam Posts and Telecommunications Group,4999.45,1780323466.0720613
http,113.160.241.196,19132,Vietnam,VN,Da Nang,transparent,true,8.69,AS45899,VietNam Post and Telecom Corporation,3946.94,1780323463.5286064
http,203.205.49.2,10168,Vietnam,VN,Mai Dich,elite,false,10.88,AS45903,CMC Telecom Infrastructure Company,1225.19,1780323457.6244805
http,128.14.92.90,22889,Vietnam,VN,Hanoi,elite,true,71.32,AS21859,Zenlayer Inc,15182.9,1780323442.3163419
http,113.160.132.26,8080,Vietnam,VN,Bắc Ninh,elite,true,99.13,AS45899,VietNam Post and Telecom Corporation,746.13,1780323439.2363045
http,128.14.92.90,22892,Vietnam,VN,Hanoi,elite,false,26.87,AS21859,Zenlayer Inc,9942.79,1780323431.342396
http,128.14.92.88,22883,Vietnam,VN,Hanoi,elite,true,71.83,AS21859,Zenlayer Inc,11193.04,1780323415.7269034
http,222.252.97.26,8008,Vietnam,VN,Hanoi,transparent,false,9.73,AS45899,VietNam Post and Telecom Corporation,1913.47,1780323408.9205751
http,103.17.88.215,8080,Vietnam,VN,Thu Dau Mot,transparent,false,26.51,AS45557,VNTT,2166.55,1780323400.6238582
http,110.172.28.217,3128,Vietnam,VN,Quận Mười Một,transparent,false,35.69,AS135918,CONTABO,15871.92,1780323388.485446
