protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,137.59.47.73,3128,Vietnam,VN,Mai Dich,transparent,true,79.73,AS131429,MOBIFONECNTT,620.33,1782685785.2014608
http,128.14.92.90,22889,Vietnam,VN,Hanoi,elite,true,54.76,AS21859,Zenlayer Inc,11080.96,1782685769.144983
http,117.2.229.243,30127,Vietnam,VN,Hanoi,elite,true,7.51,AS7552,Viettel Corporation,654.35,1782685741.4163089
http,113.160.132.26,8080,Vietnam,VN,Hanoi,elite,true,97.53,AS45899,VietNam Post and Telecom Corporation,654.54,1782685709.0653777
http,113.160.204.60,8080,Vietnam,VN,Thái Bình,transparent,true,6.24,AS45899,VietNam Post and Telecom Corporation,1303.36,1782685703.9478498
http,171.248.51.8,8080,Vietnam,VN,Ho Chi Minh City,transparent,true,25.39,AS7552,Viettel Corporation,8161.27,1782685695.4431953
http,113.176.92.71,3128,Vietnam,VN,Ca Mau,transparent,true,61.55,AS45899,VNPT,6940.89,1782685685.8966787
http,113.22.113.75,8080,Vietnam,VN,Ho Chi Minh City,transparent,true,22.54,AS18403,FPT Telecom Company,14629.38,1782685680.397813
http,160.25.234.112,3128,Vietnam,VN,Hanoi,transparent,true,36.32,AS63737,ETCNETWORK,5919.66,1782685750.4373164
http,103.69.96.15,7777,Vietnam,VN,Bút Sơn,elite,true,74.68,AS135918,VNCLOUD,657.91,1782685694.2181594
http,103.57.129.50,3128,Vietnam,VN,Hanoi,transparent,true,39.02,AS63737,Suns Web2,12207.65,1782685680.7483652
