protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,118.71.44.153,1081,Vietnam,VN,Hanoi,elite,true,98.07,AS18403,Vietnam Internet Network Information Center,1037.97,1783839570.5812902
socks4,117.4.26.246,1080,Vietnam,VN,Hanoi,elite,true,52.65,AS7552,VIETTEL,3929.82,1783839569.117337
socks4,103.179.172.167,18888,Vietnam,VN,Dich Vong,elite,true,43.34,AS135905,Vietnam Posts and Telecommunications Group,3682.81,1783839568.2510316
socks4,118.71.44.153,1032,Vietnam,VN,Hanoi,elite,true,99.58,AS18403,Vietnam Internet Network Information Center,2000.29,1783839567.282611
socks4,118.71.44.153,1083,Vietnam,VN,Hanoi,elite,true,95.71,AS18403,Vietnam Internet Network Information Center,2641.71,1783839566.4886577
socks4,116.97.117.27,4153,Vietnam,VN,Hải Dương,elite,true,53.39,AS7552,Viettel Group,4026.83,1783839566.2882316
socks4,160.250.54.5,9000,Vietnam,VN,Quận Một,elite,true,46.02,AS153320,Sandclock Service Trading Company Limited,4947.06,1783839564.857471
socks4,27.68.171.149,1080,Vietnam,VN,Nha Trang,elite,true,29.24,AS7552,Viettel Group,797.76,1783839563.962684
socks4,117.7.81.125,1082,Vietnam,VN,Nam Định,elite,true,95.0,AS7552,VIETTEL,3259.35,1783839562.392214
socks4,118.71.44.153,1085,Vietnam,VN,Hanoi,elite,true,99.75,AS18403,Vietnam Internet Network Information Center,4950.18,1783839561.5032294
socks4,118.69.22.39,1080,Vietnam,VN,Hanoi,elite,true,47.17,AS18403,FPT Telecom Company,4089.07,1783839561.479299
socks4,27.65.29.247,1080,Vietnam,VN,Mỹ Tho,elite,true,37.75,AS7552,Viettel Group,837.29,1783839561.3088796
socks4,160.250.54.9,9000,Vietnam,VN,Quận Một,elite,true,46.19,AS153320,Sandclock Service Trading Company Limited,8497.23,1783839557.4467916
socks4,118.71.44.153,1080,Vietnam,VN,Hanoi,elite,true,89.96,AS18403,Vietnam Internet Network Information Center,3418.15,1783839557.279342
socks4,171.242.14.54,1080,Vietnam,VN,Hanoi,elite,true,52.24,AS7552,Viettel Corporation,8297.29,1783839556.9280498
socks4,118.71.44.153,1082,Vietnam,VN,Hanoi,elite,true,95.02,AS18403,Vietnam Internet Network Information Center,11061.27,1783839556.6264074
socks4,118.69.22.39,1081,Vietnam,VN,Hanoi,elite,true,45.42,AS18403,FPT Telecom Company,8037.82,1783839556.3812737
socks4,118.71.44.153,1111,Vietnam,VN,Hanoi,elite,true,92.3,AS18403,Vietnam Internet Network Information Center,4833.32,1783839553.2247288
socks4,113.161.134.128,1080,Vietnam,VN,Hanoi,elite,true,63.14,AS45899,VietNam Post and Telecom Corporation,2146.14,1783839550.3976166
socks4,103.166.184.104,9191,Vietnam,VN,Thanh Khê,elite,true,30.47,AS135905,CLOUDFLY,5978.86,1783839548.8325148
socks4,117.7.81.125,1111,Vietnam,VN,Nam Định,elite,true,85.83,AS7552,VIETTEL,5341.37,1783839547.3736665
socks4,118.71.99.233,5678,Vietnam,VN,Hanoi,elite,true,16.49,AS18403,FPT Telecom Company,8185.64,1783839540.6612616
socks4,103.164.139.33,1080,Vietnam,VN,Go Vap,elite,true,52.39,AS135905,CLOUDCOREJSC,2124.46,1783839509.2226276
socks4,160.250.54.6,9000,Vietnam,VN,Quận Một,elite,true,43.99,AS153320,Sandclock Service Trading Company Limited,8502.28,1783839592.3818767
