protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,102.39.133.233,1080,South Africa,ZA,Cape Town,elite,true,38.07,AS11845,Vox Telecommunications (Pty) Limited,1907.77,1782910449.585093
http,196.251.222.242,8103,South Africa,ZA,Brits,transparent,false,18.89,AS37403,Info-Gro (PTY) Ltd,4046.6,1782910446.8718364
socks4,197.100.98.169,1080,South Africa,ZA,Bloemfontein,elite,true,52.4,AS3741,Dimension Data,854.5,1782910442.6305037
http,169.239.208.70,8080,South Africa,ZA,Cape Town,transparent,true,27.01,AS327983,Interworks Wireless Solutions,3204.58,1782910436.8781075
http,196.223.129.21,80,South Africa,ZA,Stellenbosch,elite,false,29.32,AS328471,HERO TELECOMS (PTY) LTD,2370.25,1782910430.4093332
http,196.250.239.229,8787,South Africa,ZA,Randburg,transparent,false,5.66,AS37662,West Indian Ocean Cable Company,4225.25,1782910406.2980165
http,165.0.136.30,8080,South Africa,ZA,Cape Town,elite,true,6.83,AS37053,RSAWEB (PTY) LTD,7093.07,1782910405.3481605
http,196.6.115.165,8080,South Africa,ZA,Tzaneen,transparent,false,20.66,AS328638,LWIC,6729.05,1782910369.9698982
http,154.117.154.194,8080,South Africa,ZA,Cape Town,elite,false,8.43,AS37358,BitCo,5775.37,1782910363.67189
http,105.27.130.22,9812,South Africa,ZA,Sandton,elite,false,3.96,AS37100,SEACOM Limited Networks,11450.03,1782910356.6929357
http,102.217.139.31,8180,South Africa,ZA,Cape Town,transparent,true,20.92,AS329181,Bluedog Technology,5141.61,1782910293.5963166
http,102.218.41.98,8082,South Africa,ZA,Durban,transparent,false,21.06,AS328942,IMVULA ITECHNOLOGIES (PTY) LTD,10192.62,1782910287.2943003
http,197.100.98.169,8080,South Africa,ZA,Bloemfontein,transparent,true,30.08,AS3741,Dimension Data,2112.59,1782910268.567233
socks5,168.253.92.93,10808,South Africa,ZA,Rustenburg,elite,true,41.71,AS37650,CM Value Added Services (Pty) Ltd,1047.95,1782910500.3803287
