protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,196.251.222.242,8104,South Africa,ZA,Brits,transparent,true,25.1,AS37403,Info-Gro (PTY) Ltd,3917.41,1783104222.8118315
http,196.250.239.229,8787,South Africa,ZA,Randburg,transparent,false,5.73,AS37662,West Indian Ocean Cable Company,6151.68,1783104219.5416229
http,197.100.98.169,8080,South Africa,ZA,Bloemfontein,transparent,false,31.48,AS3741,Dimension Data,7554.64,1783104213.7259598
http,102.212.46.48,12354,South Africa,ZA,Johannesburg,transparent,true,22.49,AS329243,OM-SN-46/24,5891.8,1783104201.6558383
http,102.206.118.204,8088,South Africa,ZA,Cape Town,transparent,false,28.5,AS328723,Cloud Hosting,1187.88,1783104200.3696952
http,196.223.129.21,80,South Africa,ZA,Stellenbosch,elite,false,29.57,AS328471,HERO TELECOMS (PTY) LTD,7960.23,1783104189.6734626
http,196.251.223.54,8080,South Africa,ZA,Brits,transparent,true,5.14,AS37403,Info-Gro (PTY) Ltd,4832.67,1783104184.7067523
http,196.25.34.194,8080,South Africa,ZA,Humansdorp,transparent,false,18.51,AS5713,Telkom SA Ltd.,12222.03,1783104168.2404768
http,156.155.50.93,8080,South Africa,ZA,Durban,transparent,true,12.54,AS37611,AxxessNetworks,5109.09,1783104070.6118333
http,217.29.208.206,9999,South Africa,ZA,Potchefstroom,transparent,false,23.35,AS328471,HERO TELECOMS (PTY) LTD,11314.78,1783104044.625891
http,105.22.37.218,8080,South Africa,ZA,Johannesburg,transparent,true,28.11,AS37100,SEACOM Limited Networks,8012.75,1783104281.5123858
