protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,102.39.233.4,8080,South Africa,ZA,Cape Town,transparent,true,7.81,AS11845,Vox Telecommunications (Pty) Limited,5611.87,1780657168.6616156
http,4.221.164.109,443,South Africa,ZA,Johannesburg,elite,true,98.93,AS8075,Microsoft Corporation,4099.33,1780657157.4976804
http,156.155.29.119,8080,South Africa,ZA,Durban,transparent,true,25.79,AS37611,AxxessNetworks,15996.05,1780657146.0846555
http,102.135.142.234,12354,South Africa,ZA,Daveyton,transparent,true,9.08,AS327907,Session Telecoms(PTY) Ltd,885.12,1780657073.9240868
http,102.221.40.111,8080,South Africa,ZA,Plettenberg Bay,transparent,true,27.6,AS5713,Telkom SA Ltd.,11284.24,1780657010.0030727
http,4.221.164.109,80,South Africa,ZA,Johannesburg,elite,true,98.8,AS8075,Microsoft Corporation,644.88,1780657202.937898
http,196.6.115.165,8080,South Africa,ZA,Tzaneen,transparent,true,17.23,AS328638,LWIC,3347.88,1780657184.2085774
http,196.251.198.4,8082,South Africa,ZA,Brits,transparent,true,3.9,AS37403,Info-Gro (PTY) Ltd,911.18,1780657070.5257292
http,105.22.37.218,8080,South Africa,ZA,Johannesburg,transparent,true,34.57,AS37100,SEACOM Limited Networks,7235.21,1780657057.2198255
http,165.0.136.30,8080,South Africa,ZA,Cape Town,elite,true,6.61,AS37053,RSAWEB (PTY) LTD,5286.32,1780657026.9727042
http,196.251.222.242,8104,South Africa,ZA,Brits,transparent,true,36.91,AS37403,Info-Gro (PTY) Ltd,7166.4,1780656970.4078863
