protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,197.221.237.248,80,Zimbabwe,ZW,Marondera,anonymous,false,70.65,AS37204,Telone PVT Ltd,1239.0,1780720501.7200737
http,197.221.249.199,80,Zimbabwe,ZW,Harare,anonymous,false,73.6,AS37204,Telone PVT Ltd,1253.63,1780720501.3473494
http,197.221.240.247,80,Zimbabwe,ZW,Harare,anonymous,false,67.31,AS37204,Telone PVT Ltd,2276.78,1780720499.5133576
http,41.220.16.213,80,Zimbabwe,ZW,Harare,anonymous,false,69.95,AS37204,Telone PVT Ltd,1237.74,1780720494.9497569
http,197.221.240.176,80,Zimbabwe,ZW,Harare,anonymous,false,68.31,AS37204,Telone PVT Ltd,4111.53,1780720488.670507
http,197.221.240.240,80,Zimbabwe,ZW,Harare,anonymous,false,67.17,AS37204,Telone PVT Ltd,4358.79,1780720483.53844
http,41.220.22.7,80,Zimbabwe,ZW,Harare,anonymous,false,54.8,AS37204,Telone PVT Ltd,1181.94,1780720479.30871
http,197.221.249.197,80,Zimbabwe,ZW,Harare,anonymous,false,73.94,AS37204,Telone PVT Ltd,1148.13,1780720476.6725087
http,197.221.234.149,80,Zimbabwe,ZW,Marondera,anonymous,false,67.01,AS37204,Telone PVT Ltd,1249.54,1780720476.5758226
http,41.220.16.215,80,Zimbabwe,ZW,Harare,anonymous,false,69.96,AS37204,Telone PVT Ltd,1257.52,1780720475.500625
http,41.220.16.211,80,Zimbabwe,ZW,Harare,anonymous,false,68.41,AS37204,Telone PVT Ltd,1269.38,1780720464.8570082
http,41.220.16.214,80,Zimbabwe,ZW,Harare,anonymous,false,68.5,AS37204,Telone PVT Ltd,4309.2,1780720453.5367873
http,197.221.249.198,80,Zimbabwe,ZW,Harare,anonymous,false,71.18,AS37204,Telone PVT Ltd,2293.31,1780720450.5347714
http,41.220.16.209,80,Zimbabwe,ZW,Harare,anonymous,false,67.32,AS37204,Telone PVT Ltd,1241.67,1780720447.5426004
http,41.220.16.208,80,Zimbabwe,ZW,Harare,anonymous,false,67.34,AS37204,Telone PVT Ltd,1254.35,1780720442.4740522
http,41.220.16.218,80,Zimbabwe,ZW,Harare,anonymous,false,54.8,AS37204,Telone PVT Ltd,2278.13,1780720441.105056
http,197.221.240.178,80,Zimbabwe,ZW,Harare,anonymous,false,67.02,AS37204,Telone PVT Ltd,4308.75,1780720440.26999
http,197.221.240.246,80,Zimbabwe,ZW,Harare,anonymous,false,67.18,AS37204,Telone PVT Ltd,1255.65,1780720431.534164
http,197.221.234.252,80,Zimbabwe,ZW,Marondera,anonymous,false,70.03,AS37204,Telone PVT Ltd,1256.59,1780720431.2056766
http,197.221.234.253,80,Zimbabwe,ZW,Marondera,anonymous,false,77.57,AS37204,Telone PVT Ltd,1245.02,1780720430.4198976
http,197.221.249.196,80,Zimbabwe,ZW,Harare,anonymous,false,78.32,AS37204,Telone PVT Ltd,2327.87,1780720418.347507
